sweep_name,segment_label,voltage_v,experimental_current_a,model_total_a,model_thermionic_weighted_a,model_pf_fe_weighted_a,model_pf_il_weighted_a,model_background_weighted_a,base_thermionic_a,base_pf_fe_a,base_pf_il_a,base_background_a,current_floor_a,weight_thermionic,weight_pf_fe,weight_pf_il,weight_background,top_effective_barrier_ev,bottom_effective_barrier_ev,pf_fe_activation_ev,pf_il_activation_ev
1st2KB_B64-T51,0→-V,0.0,3.64094910091598e-14,6.99677529116827e-14,1.939100960925417e-19,0.0,0.0,0.0,5.126371524532248e-24,0.0,0.0,0.0,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.8172859347163973,1.8965736045375639,0.70779113645358,0.70779113645358
1st2KB_B64-T51,0→-V,-0.25,3.41051277117591e-14,9.293767608101538e-14,1.3968714680270426e-32,1.0408719265827073e-18,3.7779685421105886e-26,2.29690762074644e-14,3.6928877151955657e-37,2.519171106384773e-21,2.4185167748738422e-23,9.459338423384397e-18,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.6845024340165851,1.637738304392248,0.6361276473187927,0.6246513554386057
1st2KB_B64-T51,0→-V,-0.5,1.23404812844147e-13,1.1591227432546974e-13,8.836028673217459e-31,6.562908668036327e-18,2.862957943085026e-25,4.59381524149288e-14,2.3359673731848903e-35,1.5883884912372628e-20,1.832760578583654e-22,1.8918676846768793e-17,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.6295017071673454,1.5305252126511475,0.6064436581921868,0.5902137305694741
1st2KB_B64-T51,0→-V,-0.75,1.33836735097259e-13,1.3889854671801785e-13,2.1295619013179668e-29,2.375909284451917e-17,1.193507981891325e-24,6.890722862239318e-14,5.629890196864829e-34,5.750296331300852e-20,7.640399974154949e-22,2.8378015270153187e-17,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.5872981650974648,1.4482577138935369,0.5836663322244682,0.5637888116054941
1st2KB_B64-T51,0→-V,-1.0,3.53893102973332e-13,1.6191044492776809e-13,3.1145701063901706e-28,6.658109255647315e-17,3.7670829009093516e-24,9.18763048298576e-14,8.233941309037418e-33,1.6114294210092693e-19,2.4115481869787873e-21,3.7837353693537587e-17,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.5517189333167727,1.3789030042469324,0.5644641581840053,0.5415115744236314
1st2KB_B64-T51,0→-V,-1.25,3.20978080269388e-13,1.849730659789097e-13,3.3103866832594225e-27,1.6012592993706652e-16,1.006070072644922e-23,1.14845381037322e-13,8.75161859553355e-32,3.8754490901181757e-19,6.440491285909348e-21,4.7296692116921986e-17,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.5203730008612261,1.3178002784360765,0.547546703243378,0.5218849344696509
1st2KB_B64-T51,0→-V,-1.5,1.11846980516226e-13,2.0812921650892018e-13,2.80471113138981e-26,3.4720023853675636e-16,2.3982411429322658e-23,1.3781445724478636e-13,7.414771880487125e-31,8.403116528690409e-19,1.535265942456468e-20,5.675603054030637e-17,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.49203411174136413,1.2625591917614076,0.5322521548858647,0.5041410956401609
1st2KB_B64-T51,0→-V,-1.75,1.13313153890342e-13,2.314490112413085e-13,2.0011556363038154e-25,6.979187346746339e-16,5.2596348005898537e-23,1.607835334522508e-13,5.2904245198296636e-30,1.6891383714894094e-18,3.3670251229329696e-20,6.621536896369077e-17,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.46597381365212287,1.2117597698282978,0.5181873661197534,0.48782395183158866
1st2KB_B64-T51,0→-V,-2.0,2.59303022847115e-13,2.550436538578404e-13,1.246233583729949e-24,1.3234850871269582e-15,1.0816542071012538e-22,1.837526096597152e-13,3.29464864660789e-29,3.2031658324838507e-18,6.924353168451215e-20,7.567470738707517e-17,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.44171747961829344,1.1644768207647311,0.5050961799307936,0.47263632468536826
1st2KB_B64-T51,0→-V,-2.25,9.20096518506469e-14,2.790849154833261e-13,6.94448069822815e-24,2.3956703963275906e-15,2.112878601577144e-22,2.067216858671796e-13,1.8359017308243126e-28,5.798123178001071e-18,1.3525873188799905e-19,8.513404581045957e-17,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.41893543261696037,1.1200677041016165,0.49280066904921804,0.45837179340865697
