voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,polarization_uc_cm2
0.0,3.64095e-14,-3.404232859178898e-14,-1.5899976129916293e-16,-3.388332883048982e-14,0.34009276282656925
-0.25,3.41051e-14,-8.755232247032622e-14,-9.223844575523356e-16,-8.662993801277388e-14,0.34009276282656925
-0.5,1.234048e-13,-1.5127034398708902e-13,-2.5800984715422457e-15,-1.4869024551554677e-13,0.34009276282656925
-0.75,1.338367e-13,-2.3700393421590233e-13,-5.567646763552824e-15,-2.314362874523495e-13,0.34009276282656925
-1.0,3.538931e-13,-3.5022996171958386e-13,-1.0452140461007205e-14,-3.3977782125857666e-13,0.34009276282656925
-1.25,3.209781e-13,-4.972207642483373e-13,-1.795633755424512e-14,-4.792644266940922e-13,0.34009276282656925
-1.5,1.11847e-13,-6.852653432036724e-13,-2.898854192501562e-14,-6.562768012786568e-13,0.34009276282656925
-1.75,1.133132e-13,-9.228403777230785e-13,-4.467739597324826e-14,-8.781629817498302e-13,0.34009276282656925
-2.0,2.59303e-13,-1.2197820227383852e-12,-6.641189755918508e-14,-1.1533701251792002e-12,0.34009276282656925
-2.25,9.20097e-14,-1.587471029532099e-12,-9.588720280684728e-14,-1.491583826725252e-12,0.34009276282656925
-2.5,2.247426e-13,-2.0390362064485094e-12,-1.3515687763587463e-13,-1.9038793288126348e-12,0.34009276282656925
-2.75,2.355091e-13,-2.5895793271621055e-12,-1.8669233991422893e-13,-2.402886987247877e-12,0.34009276282656925
-3.0,2.527495e-13,-3.2564240860692242e-12,-2.5345031160504265e-13,-3.002973774464182e-12,0.34009276282656925
-3.25,3.983859e-13,-4.059391627762628e-12,-3.3894918173170863e-13,-3.720442446030919e-12,0.34009276282656925
-3.5,3.885232e-13,-5.021105266793131e-12,-4.4735526838818817e-13,-4.573749998404943e-12,0.34009276282656925
-3.75,3.191865e-13,-6.167327175726035e-12,-5.835800623909869e-13,-5.583747113335049e-12,0.34009276282656925
-4.0,4.737446e-13,-7.527330021603604e-12,-7.533896372340146e-13,-6.77394038436959e-12,0.34009276282656925
-4.25,5.273173e-13,-9.134306760964327e-12,-9.635275204189136e-13,-8.170779240545414e-12,0.34009276282656925
-4.5,5.80208e-13,-1.1025822056832628e-11,-1.2218524406374592e-12,-9.80396961619517e-12,0.34009276282656925
-4.75,7.698526e-13,-1.2771692414059213e-11,-1.4692153943572488e-12,-1.1302477019701963e-11,0.1634843319677963
-5.0,9.875052e-13,-1.3398428081660665e-11,-1.5598714803725988e-12,-1.1838556601288067e-11,-0.48549349328943087
-5.25,1.3257e-12,-1.332006533730715e-11,-1.548485836053029e-12,-1.1771579501254123e-11,-1.3961117136139765
-5.5,1.5421e-12,-1.3988135870353459e-11,-1.6460034608245433e-12,-1.2342132409528916e-11,-2.0386759783206942
-5.75,2.2889e-12,-1.3622543352258323e-11,-1.5925123596681447e-12,-1.2030030992590179e-11,-3.0504541148554156
-6.0,1.9781e-12,-1.4240195698572878e-11,-1.683056738340301e-12,-1.2557138960232577e-11,-3.7149034738842226
-6.25,2.3602e-12,-1.4058661523721377e-11,-1.656356737593906e-12,-1.2402304786127472e-11,-4.659988277861243
-6.5,3.0564e-12,-1.4290055414071495e-11,-1.6904027391997313e-12,-1.2599652674871764e-11,-5.461705457884376
-6.75,3.6799e-12,-1.4967379595665784e-11,-1.7907243836078823e-12,-1.3176655212057902e-11,-6.114992603226643
-7.0,4.4193e-12,-1.3958288390245568e-11,-1.6416251312618844e-12,-1.2316663258983683e-11,-7.34117912167359
-7.25,8.9524e-12,-1.4123306175928323e-11,-1.6658563429750548e-12,-1.2457449832953268e-11,-8.165456933011747
-7.5,1.09581e-11,-1.522709588352379e-11,-1.8294481101992837e-12,-1.3397647773324506e-11,-8.675671128702945
-7.75,9.6035e-12,-1.5373989555327604e-11,-1.851411349193639e-12,-1.3522578206133967e-11,-9.509967753608185
-8.0,1.34826e-11,-1.5200289491179155e-11,-1.8254448350689165e-12,-1.337484465611024e-11,-10.448426148458477
-8.25,1.91266e-11,-1.4909065864802822e-11,-1.7820490448636288e-12,-1.3127016819939196e-11,-11.42634634214083
-8.5,3.62616e-11,-1.4895756661344688e-11,-1.7800700296883227e-12,-1.3115686631656367e-11,-12.312771552385854
-8.75,8.20693e-11,-1.5373145530091924e-11,-1.851285026681056e-12,-1.3521860503410868e-11,-13.038253146564458
-9.0,1.373866e-10,-1.502910154826516e-11,-1.799914484261471e-12,-1.3229187064003688e-11,-14.03262618081833
-9.25,2.775039e-10,-1.548654774599099e-11,-1.86827050336097e-12,-1.3618277242630022e-11,-14.765697200348017
-9.5,6.294106e-10,-1.5005411495694505e-11,-1.7963862128934854e-12,-1.320902528280102e-11,-15.804451537338801
-9.25,5.328221e-10,-1.2531616236836862e-11,-1.434738793373574e-12,-1.1096877443463287e-11,-15.804451537338801
-9.0,4.357024e-10,-1.0417467188010369e-11,-1.1375950126506764e-12,-9.279872175359692e-12,-15.804451537338801
-8.75,2.985269e-10,-8.616825760525353e-12,-8.948433766682703e-13,-7.721982383857083e-12,-15.804451537338801
-8.5,2.499255e-10,-7.0887962795280405e-12,-6.977595649170532e-13,-6.391036714610988e-12,-15.804451537338801
-8.25,1.892083e-10,-5.7971952933869585e-12,-5.388398589516744e-13,-5.2583554344352845e-12,-15.804451537338801
-8.0,1.306524e-10,-4.710069017486236e-12,-4.1165214555369933e-13,-4.298416871932536e-12,-15.804451537338801
-7.75,9.89885e-11,-3.79925496999326e-12,-3.1070285515232917e-13,-3.4885521148409314e-12,-15.804451537338801
-7.5,7.36117e-11,-3.039984147184904e-12,-2.313183323135387e-13,-2.8086658148713653e-12,-15.804451537338801
-7.25,5.35863e-11,-2.4105203543432155e-12,-1.695392611599243e-13,-2.240981093183291e-12,-15.804451537338801
-7.0,4.15831e-11,-1.8918335546852884e-12,-1.2202688518080786e-13,-1.7698066695044804e-12,-15.804451537338801
