voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,model_background_a,polarization_uc_cm2
0.0,3.64095e-14,-2.3742608294531457e-14,0.0,2.047646359993344e-27,-2.3742608294533505e-14,0.34009276282656925
-0.25,3.41051e-14,-1.3487937853969615e-13,-2.8833038044967643e-16,-1.5211802133487403e-40,-1.3459104815924645e-13,0.34009276282656925
-0.5,1.234048e-13,-2.462491757945427e-13,-8.096877705833059e-16,-2.13006331808089e-40,-2.4543948802395936e-13,0.34009276282656925
-0.75,1.338367e-13,-3.5803935344197995e-13,-1.7514255533075626e-15,-2.8063371205931725e-40,-3.562879278886723e-13,0.34009276282656925
-1.0,3.538931e-13,-4.704294103508312e-13,-3.2930425974458667e-15,-3.56506107428396e-40,-4.671363677533853e-13,0.34009276282656925
-1.25,3.209781e-13,-5.836481824505764e-13,-5.663374832478185e-15,-4.417339324717706e-40,-5.779848076180982e-13,0.34009276282656925
-1.5,1.11847e-13,-6.979832748454223e-13,-9.150027362611163e-15,-5.373224823264486e-40,-6.888332474828111e-13,0.34009276282656925
-1.75,1.133132e-13,-8.137920721370763e-13,-1.411038478955233e-14,-6.442618809719416e-40,-7.996816873475241e-13,0.34009276282656925
-2.0,2.59303e-13,-9.315144056619037e-13,-2.098427844966668e-14,-7.63563857585127e-40,-9.10530127212237e-13,0.34009276282656925
-2.25,9.20097e-14,-1.0516870523121445e-12,-3.0308485235194424e-14,-8.962800835079847e-40,-1.02137856707695e-12,0.34009276282656925
-2.5,2.247426e-13,-1.1749602739109707e-12,-4.273326696930779e-14,-1.0435129758447302e-39,-1.132227006941663e-12,0.34009276282656925
-2.75,2.355091e-13,-1.3021166315298928e-12,-5.904118472351669e-14,-1.206423072248765e-39,-1.243075446806376e-12,0.34009276282656925
-3.0,2.527495e-13,-1.4340923337367724e-12,-8.01684470656837e-14,-1.3862347325581491e-39,-1.3539238866710889e-12,0.34009276282656925
-3.25,3.983859e-13,-1.5720014035342063e-12,-1.0722907699840469e-13,-1.584240994536607e-39,-1.4647723265358017e-12,0.34009276282656925
-3.5,3.885232e-13,-1.7171629763741203e-12,-1.4154220997360544e-13,-1.8018080047560804e-39,-1.5756207664005148e-12,0.34009276282656925
-3.75,3.191865e-13,-1.8711320714514573e-12,-1.8466286518623037e-13,-2.0403792531506127e-39,-1.6864692062652272e-12,0.34009276282656925
-4.0,4.737446e-13,-2.035734210722923e-12,-2.384165645929825e-13,-2.3014797424779927e-39,-1.7973176461299403e-12,0.34009276282656925
-4.25,5.273173e-13,-2.2131042949732553e-12,-3.0493820897860165e-13,-2.586720172070695e-39,-1.9081660859946534e-12,0.34009276282656925
-4.5,5.80208e-13,-2.405730183966059e-12,-3.867156581066923e-13,-2.8978011863765807e-39,-2.0190145258593664e-12,0.34009276282656925
-4.75,7.698526e-13,-2.5952918799544813e-12,-4.661049259952862e-13,-3.1663923093645944e-39,-2.129186953959195e-12,0.1634843319677963
-5.0,9.875052e-13,-2.7381440810289033e-12,-5.005928078264708e-13,-3.2591676969399056e-39,-2.2375512732024325e-12,-0.48549349328943087
-5.25,1.3257e-12,-2.8557663680442637e-12,-5.108522679077335e-13,-3.247664305141436e-39,-2.3449141001365303e-12,-1.3961117136139765
-5.5,1.5421e-12,-3.0129338003830096e-12,-5.596308315388378e-13,-3.344885876118635e-39,-2.4533029688441717e-12,-2.0386759783206942
-5.75,2.2889e-12,-3.145461465126223e-12,-5.851828835548868e-13,-3.291919166320434e-39,-2.560278581571336e-12,-3.0504541148554156
-6.0,1.9781e-12,-3.3331450691270792e-12,-6.645613893746009e-13,-3.381081340943853e-39,-2.6685836797524786e-12,-3.7149034738842226
-6.25,2.3602e-12,-3.534685411125759e-12,-7.588708336790919e-13,-3.35503942409355e-39,-2.7758145774466672e-12,-4.659988277861243
-6.5,3.0564e-12,-3.7966569388549836e-12,-9.130626892302293e-13,-3.388210610815909e-39,-2.8835942496247547e-12,-5.461705457884376
-6.75,3.6799e-12,-4.119623653400828e-12,-1.1276815795045758e-12,-3.484091350744551e-39,-2.9919420738962517e-12,-6.114992603226643
-7.0,4.4193e-12,-4.628436099532715e-12,-1.5303391131893349e-12,-3.340582569487296e-39,-3.0980969863433795e-12,-7.34117912167359
-7.25,8.9524e-12,-5.266255708437914e-12,-2.06046540622525e-12,-3.364328366658341e-39,-3.2057903022126637e-12,-8.165456933011747
-7.5,1.09581e-11,-5.953377979912864e-12,-2.6386922068824404e-12,-3.520392955111735e-39,-3.314685773030424e-12,-8.675671128702945
-7.75,9.6035e-12,-7.061920779520438e-12,-3.639580040068762e-12,-3.540814951990608e-39,-3.422340739451676e-12,-9.509967753608185
-8.0,1.34826e-11,-8.724001276572073e-12,-5.194404275232059e-12,-3.51665766867273e-39,-3.5295970013400137e-12,-10.448426148458477
-8.25,1.91266e-11,-1.1165926542669161e-11,-7.529224329082914e-12,-3.475905977846821e-39,-3.6367022135862474e-12,-11.42634634214083
-8.5,3.62616e-11,-1.4399797769477428e-11,-1.0655640124321154e-11,-3.4740359955047986e-39,-3.744157645156274e-12,-12.312771552385854
-8.75,8.20693e-11,-1.82531288250952e-11,-1.4400899697496274e-11,-3.540697834860459e-39,-3.852229127598928e-12,-13.038253146564458
-9.0,1.373866e-10,-2.4765303912652932e-11,-2.0806032550060545e-11,-3.492741211054156e-39,-3.959271362592387e-12,-14.03262618081833
-9.25,2.775039e-10,-3.197090316467607e-11,-2.7903589370014224e-11,-3.5564105306580453e-39,-4.067313794661844e-12,-14.765697200348017
-9.5,6.294106e-10,-4.446852142180809e-11,-4.0294335272393754e-11,-3.489422918500891e-39,-4.174186149414337e-12,-15.804451537338801
-9.25,5.328221e-10,-4.0670275809851964e-11,-3.6606938100302344e-11,-3.130372665646752e-39,-4.063337709549625e-12,-15.804451537338801
-9.0,4.357024e-10,-3.719226476906445e-11,-3.323977549937953e-11,-2.8002644474200037e-39,-3.952489269684913e-12,-15.804451537338801
-8.75,2.985269e-10,-3.400784435792501e-11,-3.016620352810481e-11,-2.49723511045395e-39,-3.8416408298202e-12,-15.804451537338801
