sweep_name,voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,model_background_a,polarization_uc_cm2
1st2KB_B64-T51,0.0,3.64094910091598e-14,-1.6823831938079053e-14,0.0,1.869784320365855e-27,-1.682383193808092e-14,0.34009276282656925
1st2KB_B64-T51,-0.25,3.41051277117591e-14,-9.599024293373963e-14,-6.200482815093189e-16,-5.19794621088389e-44,-9.53701946522303e-14,0.34009276282656925
1st2KB_B64-T51,-0.5,1.23404812844147e-13,-1.7565346363185068e-13,-1.7369062654709962e-15,-8.852446846704562e-44,-1.7391655736637968e-13,0.34009276282656925
1st2KB_B64-T51,-0.75,1.33836735097259e-13,-2.5621433178142194e-13,-3.751411700892886e-15,-1.369120549970672e-43,-2.5246292008052904e-13,0.34009276282656925
1st2KB_B64-T51,-1.0,3.53893102973332e-13,-3.380558304498035e-13,-7.046547655125119e-15,-1.998944253218801e-43,-3.310092827946784e-13,0.34009276282656925
1st2KB_B64-T51,-1.25,3.20978080269388e-13,-4.2166611193564183e-13,-1.2110466426814024e-14,-2.8056075624231894e-43,-4.095556455088278e-13,0.34009276282656925
1st2KB_B64-T51,-1.5,1.11846980516226e-13,-5.076586644803186e-13,-1.9556656257341397e-14,-3.8244624751733164e-43,-4.881020082229772e-13,0.34009276282656925
1st2KB_B64-T51,-1.75,1.13313153890342e-13,-5.96795806904333e-13,-3.0147435967206526e-14,-5.096061186996601e-43,-5.666483709371265e-13,0.34009276282656925
1st2KB_B64-T51,-2.0,2.59303022847115e-13,-6.900157139848669e-13,-4.4820980333590955e-14,-6.666856049789362e-43,-6.451947336512759e-13,0.34009276282656925
1st2KB_B64-T51,-2.25,9.20096518506469e-14,-7.884633493749329e-13,-6.472225300950757e-14,-8.589932201453937e-43,-7.237410963654254e-13,0.34009276282656925
1st2KB_B64-T51,-2.5,2.24742614926207e-13,-8.93525753051683e-13,-9.123829397210824e-14,-1.0925798429184918e-42,-8.022874590795748e-13,0.34009276282656925
1st2KB_B64-T51,-2.75,2.35509121969749e-13,-1.006872183970022e-12,-1.2603836217629796e-13,-1.3743249408486519e-42,-8.808338217937241e-13,0.34009276282656925
1st2KB_B64-T51,-3.0,2.52749535710473e-13,-1.1304996709822352e-12,-1.711194864743618e-13,-1.7120308701069817e-42,-9.593801845078735e-13,0.34009276282656925
1st2KB_B64-T51,-3.25,3.9838588699638e-13,-1.266784580082948e-12,-2.2885803286092513e-13,-2.1145260795236694e-42,-1.0379265472220228e-12,0.34009276282656925
1st2KB_B64-T51,-3.5,3.88523197988877e-13,-1.4185408650336942e-12,-3.020679550975218e-13,-2.5917780329146437e-42,-1.1164729099361725e-12,0.34009276282656925
1st2KB_B64-T51,-3.75,3.19186517494519e-13,-1.5890857321099346e-12,-3.9406645945961343e-13,-3.155016689048942e-42,-1.1950192726503212e-12,0.34009276282656925
1st2KB_B64-T51,-4.0,4.73744632932538e-13,-1.7823135185910813e-12,-5.087478832266105e-13,-3.81686942299715e-42,-1.2735656353644708e-12,0.34009276282656925
1st2KB_B64-T51,-4.25,5.273172848895e-13,-2.0027786591219157e-12,-6.506666610432954e-13,-4.5915083279038994e-42,-1.3521119980786203e-12,0.34009276282656925
1st2KB_B64-T51,-4.5,5.80207973679969e-13,-2.2557886946479416e-12,-8.251303338551717e-13,-5.4948108990206587e-42,-1.4306583607927698e-12,0.34009276282656925
1st2KB_B64-T51,-4.75,7.69852606143095e-13,-2.5017714933249645e-12,-9.930457866210645e-13,-6.32169786248931e-42,-1.5087257067039e-12,0.1634843319677963
1st2KB_B64-T51,-5.0,9.87505216487605e-13,-2.6443585972504442e-12,-1.0588467568405636e-12,-6.617114835856334e-42,-1.5855118404098809e-12,-0.48549349328943087
1st2KB_B64-T51,-5.25,1.32566917512844e-12,-2.723701963064179e-12,-1.0621136387933232e-12,-6.580216542003718e-42,-1.6615883242708557e-12,-1.3961117136139765
1st2KB_B64-T51,-5.5,1.54214466717428e-12,-2.8805176079333246e-12,-1.142125754392438e-12,-6.894444117147425e-42,-1.7383918535408866e-12,-2.0386759783206942
1st2KB_B64-T51,-5.75,2.28889585236758e-12,-2.9537694512179083e-12,-1.1395754908626066e-12,-6.722583276746584e-42,-1.8141939603553014e-12,-3.0504541148554156
1st2KB_B64-T51,-6.0,1.9781023607307e-12,-3.1317434914859323e-12,-1.2408053610195309e-12,-7.012802438715872e-42,-1.8909381304664014e-12,-3.7149034738842226
1st2KB_B64-T51,-6.25,2.36019060198545e-12,-3.270905381535401e-12,-1.3039842512655642e-12,-6.927571205063694e-42,-1.966921130269837e-12,-4.659988277861243
1st2KB_B64-T51,-6.5,3.05637307997098e-12,-3.4836086686621466e-12,-1.440315681156932e-12,-7.036202212004137e-42,-2.0432929875052143e-12,-5.461705457884376
1st2KB_B64-T51,-6.75,3.67990273669738e-12,-3.772648617801583e-12,-1.6525811848021017e-12,-7.353676459635982e-42,-2.1200674329994807e-12,-6.114992603226643
1st2KB_B64-T51,-7.0,4.41931083741687e-12,-4.1026885486257656e-12,-1.907400550797973e-12,-6.88042172004527e-42,-2.1952879978277927e-12,-7.34117912167359
1st2KB_B64-T51,-7.25,8.95244035153953e-12,-4.6082529591943835e-12,-2.3366542955558488e-12,-6.9579285292343e-42,-2.2715986636385347e-12,-8.165456933011747
1st2KB_B64-T51,-7.5,1.09580833990153e-11,-5.211936497904344e-12,-2.8631753305876422e-12,-7.47521584956834e-42,-2.3487611673167014e-12,-8.675671128702945
1st2KB_B64-T51,-7.75,9.60346385747712e-12,-6.0885453079744214e-12,-3.663500648974631e-12,-7.543911082650809e-42,-2.4250446589997903e-12,-9.509967753608185
1st2KB_B64-T51,-8.0,1.34826455555626e-11,-7.382260281988574e-12,-4.881214650309989e-12,-7.462676153377102e-42,-2.501045631678586e-12,-10.448426148458477
1st2KB_B64-T51,-8.25,1.91266273652513e-11,-9.284876699356765e-12,-6.7079371276287196e-12,-7.326372782938429e-42,-2.5769395717280454e-12,-11.42634634214083
1st2KB_B64-T51,-8.5,3.62615978910519e-11,-1.183093752550658e-11,-9.177855850975773e-12,-7.320140386331899e-42,-2.6530816745308072e-12,-12.312771552385854
1st2KB_B64-T51,-8.75,8.20692888647834e-11,-1.4897619043760285e-11,-1.2167958737456612e-11,-7.543516467186639e-42,-2.7296603063036737e-12,-13.038253146564458
1st2KB_B64-T51,-9.0,1.37386643728199e-10,-2.00135080998224e-11,-1.720799847867234e-11,-7.382570073382162e-42,-2.8055096211500607e-12,-14.03262618081833
