voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,polarization_uc_cm2
0.0,3.64095e-14,-4.376740573297801e-15,0.0,-4.376740573297801e-15,0.34009276282656925
-0.25,3.41051e-14,-9.402209522469962e-15,-4.2064969057838534e-19,-9.401788872779385e-15,0.34009276282656925
-0.5,1.234048e-13,-1.61425354745668e-14,-5.45483192840226e-18,-1.6137080642638392e-14,0.34009276282656925
-0.75,1.338367e-13,-2.5134777555679924e-14,-1.742018430540863e-17,-2.5117357371374513e-14,0.34009276282656925
-1.0,3.538931e-13,-3.6915044547384774e-14,-3.9578485582273175e-17,-3.68754660618025e-14,0.34009276282656925
-1.25,3.209781e-13,-5.2089877188197567e-14,-7.618472373944131e-17,-5.201369246445812e-14,0.34009276282656925
-1.5,1.11847e-13,-7.135713874102597e-14,-1.326167193767196e-16,-7.122452202164924e-14,0.34009276282656925
-1.75,1.133132e-13,-9.552099620810872e-14,-2.155724747464671e-16,-9.530542373336225e-14,0.34009276282656925
-2.0,2.59303e-13,-1.2550645420557872e-13,-3.3330208457657465e-16,-1.2517315212100215e-13,0.34009276282656925
-2.25,9.20097e-14,-1.6237474042494538e-13,-4.958732964095562e-16,-1.6187886712853583e-13,0.34009276282656925
-2.5,2.247426e-13,-2.0734001798098455e-13,-7.154734025742813e-16,-2.0662454457841028e-13,0.34009276282656925
-2.75,2.355091e-13,-2.617876850553756e-13,-1.0067511486445792e-15,-2.60780933906731e-13,0.34009276282656925
-3.0,2.527495e-13,-3.2729445927021485e-13,-1.3872028914505348e-15,-3.2590725637876427e-13,0.34009276282656925
-3.25,3.983859e-13,-4.0565042796245733e-13,-1.8776076961916546e-15,-4.0377282026626565e-13,0.34009276282656925
-3.5,3.885232e-13,-4.988832461814165e-13,-2.502516513370128e-15,-4.963807296680463e-13,0.34009276282656925
-3.75,3.191865e-13,-6.092846720220798e-13,-3.290801048440339e-15,-6.059938709736394e-13,0.34009276282656925
-4.0,4.737446e-13,-7.394396402675669e-13,-4.2762684405429815e-15,-7.35163371827024e-13,0.34009276282656925
-4.25,5.273173e-13,-8.922580888371165e-13,-5.4983484068589675e-15,-8.867597404302575e-13,0.34009276282656925
-4.5,5.80208e-13,-1.0710097676442913e-12,-7.002860089779405e-15,-1.064006907554512e-12,0.34009276282656925
-4.75,7.698526e-13,-1.2365416550899875e-12,-9.904477270359734e-15,-1.2266371778196278e-12,0.1634843319677963
-5.0,9.875052e-13,-1.3030657275929446e-12,-1.824881236732605e-14,-1.2848169152256185e-12,-0.48549349328943087
-5.25,1.3257e-12,-1.3144493334336772e-12,-3.6901320486821906e-14,-1.2775480129468555e-12,-1.3961117136139765
-5.5,1.5421e-12,-1.401117079669144e-12,-6.164800216422244e-14,-1.3394690775049216e-12,-2.0386759783206942
-5.75,2.2889e-12,-1.4242976205227471e-12,-1.1870033949216907e-13,-1.305597281030578e-12,-3.0504541148554156
-6.0,1.9781e-12,-1.5505061985039072e-12,-1.8770285293472948e-13,-1.3628033455691775e-12,-3.7149034738842226
-6.25,2.3602e-12,-1.672295281388065e-12,-3.2629580580448886e-13,-1.3459994755835761e-12,-4.659988277861243
-6.5,3.0564e-12,-1.887548161626439e-12,-5.201308802931988e-13,-1.36741728133324e-12,-5.461705457884376
-6.75,3.6799e-12,-2.1976504147993277e-12,-7.676121024677487e-13,-1.430038312331579e-12,-6.114992603226643
-7.0,4.4193e-12,-2.7108440478528945e-12,-1.374139090716615e-12,-1.3367049571362796e-12,-7.34117912167359
-7.25,8.9524e-12,-3.431681072451249e-12,-2.0796968057027615e-12,-1.3519842667484876e-12,-8.165456933011747
-7.5,1.09581e-11,-4.245466755306396e-12,-2.791444524122462e-12,-1.454022231183934e-12,-8.675671128702945
-7.75,9.6035e-12,-5.601158860035818e-12,-4.1335781572656956e-12,-1.467580702770123e-12,-9.509967753608185
-8.0,1.34826e-11,-7.695388630736218e-12,-6.2438411801951854e-12,-1.4515474505410324e-12,-10.448426148458477
-8.25,1.91266e-11,-1.0839249824350964e-11,-9.414598676011307e-12,-1.4246511483396581e-12,-11.42634634214083
-8.5,3.62616e-11,-1.5060124538632874e-11,-1.3636703034923781e-11,-1.4234215037090935e-12,-12.312771552385854
-8.75,8.20693e-11,-2.013101085721571e-11,-1.866350804541066e-11,-1.4675028118050505e-12,-13.038253146564458
-9.0,1.373866e-10,-2.876908194794616e-11,-2.7333342449714884e-11,-1.4357394982312748e-12,-14.03262618081833
-9.25,2.775039e-10,-3.836557349557622e-11,-3.688760675124698e-11,-1.4779667443292392e-12,-14.765697200348017
-9.5,6.294106e-10,-5.508138416254315e-11,-5.3647832785583973e-11,-1.4335513769591778e-12,-15.804451537338801
-9.25,5.328221e-10,-5.0025924748363826e-11,-4.882160091685923e-11,-1.2043238315045982e-12,-15.804451537338801
-9.0,4.357024e-10,-4.5407680606221096e-11,-4.440055303623199e-11,-1.0071275699891054e-12,-15.804451537338801
-8.75,2.985269e-10,-4.1191030325133016e-11,-4.0352977687468186e-11,-8.38052637664828e-13,-15.804451537338801
-8.5,2.499255e-10,-3.734308320521453e-11,-3.664947566898272e-11,-6.936075362318027e-13,-15.804451537338801
