voltage_v,voltage_au,temperature_k,thermal_voltage_v,legacy_bias_drive,voltage_sign,field_sign,polarization_uc_cm2,polarization_au,screening_charge_uc_cm2,screening_charge_c_m2,fe_field_mv_cm,il_field_mv_cm,dl_field_mv_cm,fe_built_in_field_mv_cm,il_built_in_field_mv_cm,dl_built_in_field_mv_cm,top_work_function_ev,bottom_work_function_ev,top_fermi_ev,bottom_fermi_ev,top_affinity_ev,fe_affinity_ev,insulator_k,fe_k,top_screening_len_nm,bottom_screening_len_nm,insulator_thickness_nm,fe_thickness_nm,top_m_eff,bottom_m_eff,insulator_m_eff,fe_m_eff,trap_depth_ev,top_field_v_per_m,bottom_field_v_per_m,top_base_barrier_ev,bottom_base_barrier_ev,top_schottky_lowering_ev,bottom_schottky_lowering_ev,top_barrier_ev,bottom_barrier_ev,thermionic_barrier_offset_ev,thermionic_top_barrier_offset_ev,thermionic_bottom_barrier_offset_ev,top_total_barrier_offset_ev,bottom_total_barrier_offset_ev,top_barrier_effective_ev,bottom_barrier_effective_ev,richardson_constant_a_per_m2_k2,thermionic_prefactor_scale,thermionic_top_prefactor_scale,thermionic_bottom_prefactor_scale,top_prefactor_a_per_m2,bottom_prefactor_a_per_m2,top_injection_a_per_m2,bottom_injection_a_per_m2,enable_thermionic,thermionic_raw_a_per_m2,thermionic_a_per_m2,barrier_sampling_points,barrier_profile_min_ev,barrier_profile_max_ev,effective_mass_min,effective_mass_max,flux_top_a_per_m2,flux_bottom_a_per_m2,tunneling_prefactor_scale,enable_tunneling,tunneling_transmission,tunneling_raw_a_per_m2,tunneling_a_per_m2,pf_field_v_per_m,pf_lowering_ev,pf_activation_ev,poole_frenkel_mobility_m2_per_v_s,poole_frenkel_trap_density_m3,poole_frenkel_prefactor_scale,enable_poole_frenkel,poole_frenkel_raw_a_per_m2,poole_frenkel_a_per_m2,tat_reduced_barrier_min_ev,tat_reduced_barrier_max_ev,trap_assisted_prefactor_a_per_m2,field_enhancement,trap_tunneling_transmission,enable_trap_assisted_tunneling,trap_assisted_tunneling_raw_a_per_m2,trap_assisted_tunneling_a_per_m2,sclc_mobility_m2_per_v_s,sclc_prefactor_scale,sclc_voltage_drop_v,sclc_thickness_m,enable_sclc,sclc_raw_a_per_m2,sclc_a_per_m2,total_a_per_m2,experimental_current_a,experimental_current_density_a_per_m2,experimental_current_density_uA_per_um2,model_total_a,model_thermionic_a,model_tunneling_a,model_pf_a,model_tat_a,model_sclc_a
0.0,0.0,300.0,0.025851999786435535,0.0,0.0,-1.0,0.34009276282656925,5.944143186191275e-05,0.24265491209522355,0.0024265491209522357,-0.10489060618745041,0.12997528857374566,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,12997528.857374566,10489060.618745042,2.33,3.2800000000000002,0.033537418782959946,0.03072445628173244,2.2964625812170403,3.2492755437182677,0.0,1.549994,2.518931,1.549994,2.518931,0.7464685812170402,0.7303445437182678,1200000.0,1.0,6.588173077926467,22.094440075220636,711522692416.0585,2386199528123.8286,0.20514858067328842,1.2836848768377622,1,-1.0785362961644738,-1.0785362961644738,1500,0.0014502453789097907,7.68737038708834,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,2.3689016042775786e-83,0.0,0.0,10489060.618745042,0.03072445628173244,0.7692755437182676,1e-10,5e+23,504765890.70298094,1,-0.005061120150829386,-0.005061120150829386,0.0,6.88737038708834,500000000.0,1.1048906061874504,8.712474433435678e-79,0,0.0,0.0,5e-10,1.0,0.10489060618718757,1e-08,0,0.0,0.0,-1.0835974163153033,3.64095e-14,1.1589503801008727,1.1589503801008726e-06,-3.404221682545038e-14,-3.388321704660256e-14,0.0,-1.5899977884780866e-16,0.0,0.0
-0.25,-0.00918733054391357,300.0,0.025851999786435535,-0.9998737627781501,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-0.010042281167589616,-0.00010042281167589615,-0.28326466954525686,-0.041538233885683555,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,4153823.3885683557,28326466.954525687,2.33,3.2800000000000002,0.01895934164009261,0.05049078390688644,2.3110406583599072,3.229509216093114,0.0,1.549994,2.518931,1.549994,2.518931,0.7610466583599071,0.710578216093114,1200000.0,1.0,6.588173077926467,22.094440075220636,711522692416.0585,2386199528123.8286,0.11672599896625295,2.7575164633890603,1,-2.7575164633890603,-2.7575164633890603,1500,0.0,7.617135718902733,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,1.3260035073963762e-82,-4.601114322505249e-67,0.0,28326466.954525687,0.05049078390688644,0.7495092160931136,1e-10,5e+23,504765890.70298094,1,-0.029360412410597347,-0.029360412410597347,0.0,6.817135718902733,500000000.0,1.283264669545257,5.390560762144346e-78,0,-3.4587580875483967e-69,0.0,5e-10,1.0,0.283264669544547,1e-08,0,-6394.0504681682705,0.0,-2.7868768757996576,3.41051e-14,1.0855990499286798,1.0855990499286798e-06,-8.75523191947148e-14,-8.66299346353598e-14,0.0,-9.223845593549922e-16,0.0,0.0
-0.5,-0.01837466108782714,300.0,0.025851999786435535,-0.9999999920310759,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-0.26273947443040274,-0.0026273947443040276,-0.4616387329030633,-0.21305175634511284,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,21305175.634511285,46163873.29030633,2.33,3.2800000000000002,0.04293799866639262,0.06445654586817166,2.2870620013336076,3.2155434541318284,0.0,1.549994,2.518931,1.549994,2.518931,0.7370680013336075,0.6966124541318286,1200000.0,1.0,6.588173077926467,22.094440075220636,711522692416.0585,2386199528123.8286,0.2951150161916098,4.73295732814702,1,-4.73295732814702,-4.73295732814702,1500,0.0,7.546901050717127,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,7.57046910093678e-82,-2.626885495710179e-66,0.0,46163873.29030633,0.06445654586817166,0.7355434541318284,1e-10,5e+23,504765890.70298094,1,-0.08212709414624325,-0.08212709414624325,0.0,6.746901050717127,500000000.0,1.4616387329030633,3.4143979946507203e-77,0,-2.4953081792640194e-68,0.0,5e-10,1.0,0.46163873290190643,1e-08,0,-16982.26917195227,0.0,-4.815084422293263,1.234048e-13,3.928096784253345,3.928096784253345e-06,-1.512703384749117e-13,-1.4869023971860655e-13,0.0,-2.580098756305151e-15,0.0,0.0
-0.75,-0.027561991631740706,300.0,0.025851999786435535,-0.999999999999497,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-0.5154366676932159,-0.005154366676932159,-0.6400127962608698,-0.38456527880454205,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,38456527.880454205,64001279.62608698,2.33,3.2800000000000002,0.057687839477003455,0.07589448827800035,2.2723121605229966,3.204105511722,0.0,1.549994,2.518931,1.549994,2.518931,0.7223181605229965,0.6851745117220003,1200000.0,1.0,6.588173077926467,22.094440075220636,711522692416.0585,2386199528123.8286,0.5221288948170619,7.366845544566748,1,-7.366845544566748,-7.366845544566748,1500,0.0,7.47666638253152,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,4.411863004439491e-81,-1.5308772522416528e-65,0.0,64001279.62608698,0.07589448827800035,0.7241055117219997,1e-10,5e+23,504765890.70298094,1,-0.1772237203218088,-0.1772237203218088,0.0,6.67666638253152,500000000.0,1.6400127962608697,2.2163267775107093e-76,0,-1.8174021379065905e-67,0.0,5e-10,1.0,0.640012796259266,1e-08,0,-32641.38320983595,0.0,-7.544069264888557,1.338367e-13,4.260154474421413,4.260154474421413e-06,-2.3700392580746444e-13,-2.3143627842941594e-13,0.0,-5.567647378048467e-15,0.0,0.0
-1.0,-0.03674932217565428,300.0,0.025851999786435535,-1.0,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-0.7681338609560292,-0.007681338609560292,-0.8183868596186762,-0.5560788012639712,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,55607880.126397125,81838685.96186762,2.33,3.2800000000000002,0.0693693153892548,0.08582132833220042,2.2606306846107453,3.1941786716678,0.0,1.549994,2.518931,1.549994,2.518931,0.7106366846107453,0.6752476716678002,1200000.0,1.0,6.588173077926467,22.094440075220636,711522692416.0585,2386199528123.8286,0.8203853307017205,10.815463539600309,1,-10.815463539600309,-10.815463539600309,1500,0.0,7.4064317143459135,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,2.626664895690464e-80,-9.11429374399872e-65,0.0,81838685.96186762,0.08582132833220042,0.7141786716677996,1e-10,5e+23,504765890.70298094,1,-0.332702000772005,-0.332702000772005,0.0,6.606431714345914,500000000.0,1.818386859618676,1.4759834883491552e-75,0,-1.3419544901141194e-66,0.0,5e-10,1.0,0.8183868596166254,1e-08,0,-53371.392581819295,0.0,-11.148165540372315,3.538931e-13,11.264767238222884,1.1264767238222884e-05,-3.502299496263655e-13,-3.3977780801176595e-13,0.0,-1.0452141614599567e-14,0.0,0.0
-1.25,-0.045936652719567844,300.0,0.025851999786435535,-1.0,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-1.0208310542188423,-0.010208310542188424,-0.9967609229764826,-0.7275923237234004,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,72759232.37234004,99676092.29764825,2.33,3.2800000000000002,0.07934933529414905,0.09471339631977706,2.250650664705851,3.185286603680223,0.0,1.549994,2.518931,1.549994,2.518931,0.700656664705851,0.6663556036802234,1200000.0,1.0,6.588173077926467,22.094440075220636,711522692416.0585,2386199528123.8286,1.2069098771666729,15.255459916533734,1,-15.255459916533734,-15.255459916533734,1500,0.0,7.336197046160307,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,1.5990429693702663e-79,-5.548536989255148e-64,0.0,99676092.29764825,0.09471339631977706,0.705286603680223,1e-10,5e+23,504765890.70298094,1,-0.571568039400339,-0.571568039400339,0.0,6.536197046160307,500000000.0,1.9967609229764824,1.0096883803417385e-74,0,-1.0080531511248998e-65,0.0,5e-10,1.0,0.9967609229739848,1e-08,0,-79172.29728790229,0.0,-15.827027955934073,3.209781e-13,10.217050247848936,1.0217050247848938e-05,-4.972207475452276e-13,-4.792644080091595e-13,0.0,-1.7956339536068263e-14,0.0,0.0
-1.5,-0.05512398326348141,300.0,0.025851999786435535,-1.0,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-1.2735282474816554,-0.012735282474816555,-1.175134986334289,-0.8991058461828296,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,89910584.61828296,117513498.6334289,2.33,3.2800000000000002,0.08820732455795646,0.10283945978150107,2.2417926754420434,3.177160540218499,0.0,1.549994,2.518931,1.549994,2.518931,0.6917986754420433,0.6582295402184992,1200000.0,1.0,6.588173077926467,22.094440075220636,711522692416.0585,2386199528123.8286,1.700131490851629,20.88993857757766,1,-20.88993857757766,-20.88993857757766,1500,0.0,7.2659623779747,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,9.963408526228669e-79,-3.4572142091097855e-63,0.0,117513498.6334289,0.10283945978150107,0.6971605402184989,1e-10,5e+23,504765890.70298094,1,-0.9227340499198059,-0.9227340499198059,0.0,6.4659623779747,500000000.0,2.175134986334289,7.104415279639583e-74,0,-7.72653111609598e-65,0.0,5e-10,1.0,1.1751349863313443,1e-08,0,-110044.097328085,0.0,-21.812672627497466,1.11847e-13,3.560200583999843,3.560200583999843e-06,-6.852653208170521e-13,-6.562767756925999e-13,0.0,-2.89885451244522e-14,0.0,0.0
-1.75,-0.06431131380739498,300.0,0.025851999786435535,-1.0,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-1.5262254407444686,-0.015262254407444687,-1.3535090496920954,-1.070619368642259,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,107061936.8642259,135350904.96920955,2.33,3.2800000000000002,0.09625355681595385,0.11036884313009171,2.2337464431840464,3.1696311568699085,0.0,1.549994,2.518931,1.549994,2.518931,0.6837524431840463,0.6507001568699087,1200000.0,1.0,6.588173077926467,22.094440075220636,711522692416.0585,2386199528123.8286,2.3208830906904416,27.95279478737383,1,-27.95279478737383,-27.95279478737383,1500,0.0,7.195727709789093,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,6.360646926326021e-78,-2.207087953378186e-62,0.0,135350904.96920955,0.11036884313009171,0.6896311568699083,1e-10,5e+23,504765890.70298094,1,-1.4221258396818792,-1.4221258396818792,0.0,6.395727709789093,500000000.0,2.3535090496920956,5.149138976025249e-73,0,-6.059272589098857e-64,0.0,5e-10,1.0,1.3535090496887037,1e-08,0,-145986.79270236735,0.0,-29.374920627055708,1.133132e-13,3.606871179512111,3.606871179512111e-06,-9.22840348417415e-13,-8.78162947513167e-13,0.0,-4.467740090424808e-14,0.0,0.0
-2.0,-0.07349864435130855,300.0,0.025851999786435535,-1.0,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-1.7789226340072817,-0.017789226340072815,-1.5318831130499018,-1.2421328911016885,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,124213289.11016884,153188311.30499017,2.33,3.2800000000000002,0.10367720238206393,0.11741638974009805,2.2263227976179363,3.1625836102599023,0.0,1.549994,2.518931,1.549994,2.518931,0.6763287976179362,0.6436526102599025,1200000.0,1.0,6.588173077926467,22.094440075220636,711522692416.0585,2386199528123.8286,3.092893892602989,36.71290989604273,1,-36.71290989604273,-36.71290989604273,1500,0.0,7.1254930416034865,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,4.1651552569911906e-77,-1.4452718564847269e-61,0.0,153188311.30499017,0.11741638974009805,0.682583610259902,1e-10,5e+23,504765890.70298094,1,-2.1139565886466403,-2.1139565886466403,0.0,6.325493041603487,500000000.0,2.5318831130499015,3.8503222159696056e-72,0,-4.87428289920716e-63,0.0,5e-10,1.0,1.531883113046063,1e-08,0,-187000.38341074935,0.0,-38.82686648468937,2.59303e-13,8.253870841711546,8.253870841711546e-06,-1.219781985102119e-12,-1.1533700802131188e-12,0.0,-6.641190488900026e-14,0.0,0.0
-2.25,-0.08268597489522213,300.0,0.025851999786435535,-1.0,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-2.031619827270095,-0.020316198272700953,-1.7102571764077086,-1.4136464135611178,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,141364641.35611176,171025717.64077085,2.33,3.2800000000000002,0.11060369518158436,0.12406423991353198,2.2193963048184155,3.1559357600864684,0.0,1.549994,2.518931,1.549994,2.518931,0.6694023048184155,0.6370047600864686,1200000.0,1.0,6.588173077926467,22.094440075220636,711522692416.0585,2386199528123.8286,4.043197710909801,47.47858596081705,1,-47.47858596081705,-47.47858596081705,1500,0.0,7.055258373417879,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,2.8011171637395723e-76,-9.71962760973663e-61,0.0,171025717.64077085,0.12406423991353198,0.675935760086468,1e-10,5e+23,504765890.70298094,1,-3.052184798059529,-3.052184798059529,0.0,6.255258373417879,500000000.0,2.7102571764077084,2.9756123072308566e-71,0,-4.0323373049397645e-62,0.0,5e-10,1.0,1.7102571764034227,1e-08,0,-233084.86945323108,0.0,-50.53077075887658,9.20097e-14,2.928759713480472,2.9287597134804723e-06,-1.587470981963166e-12,-1.4915837685733436e-12,0.0,-9.588721338982263e-14,0.0,0.0
