voltage_v,voltage_au,temperature_k,thermal_voltage_v,legacy_bias_drive,voltage_sign,field_sign,polarization_uc_cm2,polarization_au,screening_charge_uc_cm2,screening_charge_c_m2,fe_field_mv_cm,il_field_mv_cm,dl_field_mv_cm,fe_built_in_field_mv_cm,il_built_in_field_mv_cm,dl_built_in_field_mv_cm,top_work_function_ev,bottom_work_function_ev,top_fermi_ev,bottom_fermi_ev,top_affinity_ev,fe_affinity_ev,insulator_k,fe_k,top_screening_len_nm,bottom_screening_len_nm,insulator_thickness_nm,fe_thickness_nm,top_m_eff,bottom_m_eff,insulator_m_eff,fe_m_eff,trap_depth_ev,top_field_v_per_m,bottom_field_v_per_m,top_base_barrier_ev,bottom_base_barrier_ev,top_schottky_lowering_ev,bottom_schottky_lowering_ev,thermionic_top_schottky_scale,thermionic_bottom_schottky_scale,top_schottky_effective_ev,bottom_schottky_effective_ev,top_barrier_ev,bottom_barrier_ev,thermionic_barrier_offset_ev,thermionic_top_barrier_offset_ev,thermionic_bottom_barrier_offset_ev,thermionic_top_barrier_floor_ev,thermionic_bottom_barrier_floor_ev,top_total_barrier_offset_ev,bottom_total_barrier_offset_ev,top_barrier_effective_ev,bottom_barrier_effective_ev,richardson_constant_a_per_m2_k2,thermionic_prefactor_scale,thermionic_top_prefactor_scale,thermionic_bottom_prefactor_scale,top_prefactor_a_per_m2,bottom_prefactor_a_per_m2,top_injection_a_per_m2,bottom_injection_a_per_m2,enable_thermionic,thermionic_raw_a_per_m2,thermionic_a_per_m2,barrier_sampling_points,barrier_profile_min_ev,barrier_profile_max_ev,effective_mass_min,effective_mass_max,flux_top_a_per_m2,flux_bottom_a_per_m2,tunneling_prefactor_scale,enable_tunneling,tunneling_transmission,tunneling_raw_a_per_m2,tunneling_a_per_m2,pf_field_v_per_m,poole_frenkel_field_region,poole_frenkel_region_k,pf_lowering_ev,pf_activation_ev,pf_fe_field_v_per_m,pf_il_field_v_per_m,pf_fe_lowering_ev,pf_il_lowering_ev,pf_fe_activation_ev,pf_il_activation_ev,poole_frenkel_mobility_m2_per_v_s,poole_frenkel_trap_density_m3,poole_frenkel_prefactor_scale,poole_frenkel_fe_prefactor_scale,poole_frenkel_il_prefactor_scale,enable_poole_frenkel,poole_frenkel_fe_raw_a_per_m2,poole_frenkel_il_raw_a_per_m2,poole_frenkel_raw_a_per_m2,poole_frenkel_a_per_m2,tat_reduced_barrier_min_ev,tat_reduced_barrier_max_ev,trap_assisted_prefactor_a_per_m2,field_enhancement,trap_tunneling_transmission,enable_trap_assisted_tunneling,trap_assisted_tunneling_raw_a_per_m2,trap_assisted_tunneling_a_per_m2,sclc_mobility_m2_per_v_s,sclc_prefactor_scale,sclc_voltage_drop_v,sclc_thickness_m,enable_sclc,sclc_raw_a_per_m2,sclc_a_per_m2,background_conductance_a_per_m2_v,background_internal_drop_v,background_raw_a_per_m2,background_a_per_m2,total_a_per_m2,experimental_current_a,experimental_current_density_a_per_m2,experimental_current_density_uA_per_um2,model_total_a,model_thermionic_a,model_tunneling_a,model_pf_a,model_tat_a,model_sclc_a,model_background_a
0.0,0.0,300.0,0.025851999786435535,0.0,0.0,-1.0,0.34009276282656925,5.944143186191275e-05,0.24265491209522355,0.0024265491209522357,-0.10489060618745041,0.12997528857374566,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,12997528.857374566,10489060.618745042,2.33,3.2800000000000002,0.033537418782959946,0.03072445628173244,3.782346,1.0,0.12685012178405342,0.03072445628173244,2.203149878215947,3.2492755437182677,0.0,0.898008,2.381264,0.167855,0.0,0.898008,2.381264,1.305141878215947,0.8680115437182678,1200000.0,1.0,0.005081676331890702,4.839316202734844e-10,548821043.8441958,52.26461498953632,6.516466997897464e-14,1.3685340686349055e-13,1,-7.168873688451592e-14,-7.168873688451592e-14,1500,0.0014502453789097907,7.68737038708834,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,2.3689016042775786e-83,0.0,0.0,12997528.857374566,both,16.64,0.03072445628173244,0.7664625812170401,10489060.618745042,12997528.857374566,0.03072445628173244,0.033537418782959946,0.7692755437182676,0.7664625812170401,1e-10,5e+23,1.0,157486379.86607143,3936959.9789048326,1,0.0,0.0,0.0,0.0,0.0,6.88737038708834,500000000.0,1.1299752885737457,8.712474433435678e-79,0,0.0,0.0,5e-10,1.0,0.10489060618718757,1e-08,0,0.0,0.0,14.28864347468568,-0.05290049075781958,-0.7558762520743888,-0.7558762520743888,-0.7558762520744605,3.64095e-14,1.1589503801008727,1.1589503801008726e-06,-2.374655280540112e-14,-2.2521680914152686e-27,0.0,0.0,0.0,0.0,-2.3746552805398868e-14
-0.25,-0.00918733054391357,300.0,0.025851999786435535,-0.9998737627781501,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-0.010042281167589616,-0.00010042281167589615,-0.28326466954525686,-0.041538233885683555,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,4153823.3885683557,28326466.954525687,2.33,3.2800000000000002,0.01895934164009261,0.05049078390688644,3.782346,1.0,0.07171079001503772,0.05049078390688644,2.2582892099849623,3.229509216093114,0.0,0.898008,2.381264,0.167855,0.0,0.898008,2.381264,1.3602812099849624,0.848245216093114,1200000.0,1.0,0.005081676331890702,4.839316202734844e-10,548821043.8441958,52.26461498953632,7.721687036189491e-15,2.939783192169296e-13,1,-2.939783192169296e-13,-2.939783192169296e-13,1500,0.0,7.617135718902733,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,1.3260035073963762e-82,-4.601114322505249e-67,0.0,4153823.3885683557,both,16.64,0.01895934164009261,0.7495092160931136,28326466.954525687,4153823.3885683557,0.05049078390688644,0.01895934164009261,0.7495092160931136,0.7810406583599074,1e-10,5e+23,1.0,157486379.86607143,3936959.9789048326,1,-0.009160415049995265,-9.917080819515026e-06,-0.009170332130814779,-0.009170332130814779,0.0,6.817135718902733,500000000.0,1.0415382338856836,5.390560762144346e-78,0,-2.8072375679286436e-69,0.0,5e-10,1.0,0.283264669544547,1e-08,0,-6394.0504681682705,0.0,14.28864347468568,-0.2998799630987788,-4.284877877920348,-4.284877877920348,-4.294048210051456,3.41051e-14,1.0855990499286798,1.0855990499286798e-06,-1.3490150310858058e-13,-9.235601279665811e-27,0.0,-2.8809448053146145e-16,0.0,0.0,-1.346134086280399e-13
-0.5,-0.01837466108782714,300.0,0.025851999786435535,-0.9999999920310759,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-0.26273947443040274,-0.0026273947443040276,-0.4616387329030633,-0.21305175634511284,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,21305175.634511285,46163873.29030633,2.33,3.2800000000000002,0.04293799866639262,0.06445654586817166,3.782346,1.0,0.16240636750383547,0.06445654586817166,2.1675936324961644,3.2155434541318284,0.0,0.898008,2.381264,0.167855,0.0,0.898008,2.381264,1.2695856324961645,0.8342794541318286,1200000.0,1.0,0.005081676331890702,4.839316202734844e-10,548821043.8441958,52.26461498953632,2.5782845049728533e-13,5.045797037759314e-13,1,-5.045797037759314e-13,-5.045797037759314e-13,1500,0.0,7.546901050717127,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,7.57046910093678e-82,-2.626885495710179e-66,0.0,21305175.634511285,both,16.64,0.04293799866639262,0.7355434541318284,46163873.29030633,21305175.634511285,0.06445654586817166,0.04293799866639262,0.7355434541318284,0.7570620013336075,1e-10,5e+23,1.0,157486379.86607143,3936959.9789048326,1,-0.025623559325688598,-0.00012860109088979772,-0.025752160416578396,-0.025752160416578396,0.0,6.746901050717127,500000000.0,1.2130517563451129,3.4143979946507203e-77,0,-2.070920742136144e-68,0.0,5e-10,1.0,0.46163873290190643,1e-08,0,-16982.26917195227,0.0,14.28864347468568,-0.546859435439738,-7.813879503766308,-7.813879503766308,-7.839631664183391,1.234048e-13,3.928096784253345,3.928096784253345e-06,-2.4628929243048466e-13,-1.58518389053298e-26,0.0,-8.090279797878857e-16,0.0,0.0,-2.4548026445068094e-13
-0.75,-0.027561991631740706,300.0,0.025851999786435535,-0.999999999999497,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-0.5154366676932159,-0.005154366676932159,-0.6400127962608698,-0.38456527880454205,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,38456527.880454205,64001279.62608698,2.33,3.2800000000000002,0.057687839477003455,0.07589448827800035,3.782346,1.0,0.2181953688944861,0.07589448827800035,2.111804631105514,3.204105511722,0.0,0.898008,2.381264,0.167855,0.0,0.898008,2.381264,1.213796631105514,0.8228415117220003,1200000.0,1.0,0.005081676331890702,4.839316202734844e-10,548821043.8441958,52.26461498953632,2.231232424705063e-12,7.853780384907503e-13,1,-7.853780384907503e-13,-7.853780384907503e-13,1500,0.0,7.47666638253152,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,4.411863004439491e-81,-1.5308772522416528e-65,0.0,38456527.880454205,both,16.64,0.057687839477003455,0.7241055117219997,64001279.62608698,38456527.880454205,0.07589448827800035,0.057687839477003455,0.7241055117219997,0.7423121605229965,1e-10,5e+23,1.0,157486379.86607143,3936959.9789048326,1,-0.05529359779245075,-0.0004106917929977472,-0.0557042895854485,-0.0557042895854485,0.0,6.67666638253152,500000000.0,1.384565278804542,2.2163267775107093e-76,0,-1.5343245513130436e-67,0.0,5e-10,1.0,0.640012796259266,1e-08,0,-32641.38320983595,0.0,14.28864347468568,-0.7938389077806972,-11.342881129612266,-11.342881129612266,-11.3985854191985,1.338367e-13,4.260154474421413,4.260154474421413e-06,-3.5809712214269745e-13,-2.467337876013303e-26,0.0,-1.7500018693508344e-15,0.0,0.0,-3.563471202733219e-13
-1.0,-0.03674932217565428,300.0,0.025851999786435535,-1.0,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-0.7681338609560292,-0.007681338609560292,-0.8183868596186762,-0.5560788012639712,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,55607880.126397125,81838685.96186762,2.33,3.2800000000000002,0.0693693153892548,0.08582132833220042,3.782346,1.0,0.2623787525852863,0.08582132833220042,2.0676212474147135,3.1941786716678,0.0,0.898008,2.381264,0.167855,0.0,0.898008,2.381264,1.1696132474147136,0.8129146716678002,1200000.0,1.0,0.005081676331890702,4.839316202734844e-10,548821043.8441958,52.26461498953632,1.2325172042680978e-11,1.1530345639409048e-12,1,-1.1530345639409048e-12,-1.1530345639409048e-12,1500,0.0,7.4064317143459135,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,2.626664895690464e-80,-9.11429374399872e-65,0.0,55607880.126397125,both,16.64,0.0693693153892548,0.7141786716677996,81838685.96186762,55607880.126397125,0.08582132833220042,0.0693693153892548,0.7141786716677996,0.7306306846107452,1e-10,5e+23,1.0,157486379.86607143,3936959.9789048326,1,-0.10380264324677466,-0.0009330876713441275,-0.10473573091811879,-0.10473573091811879,0.0,6.606431714345914,500000000.0,1.5560788012639712,1.4759834883491552e-75,0,-1.148373308617884e-66,0.0,5e-10,1.0,0.8183868596166254,1e-08,0,-53371.392581819295,0.0,14.28864347468568,-1.0408183801216564,-14.871882755458225,-14.871882755458225,-14.976618486377497,3.538931e-13,11.264767238222884,1.1264767238222884e-05,-4.705043461242063e-13,-3.6223649154118575e-26,0.0,-3.290370028207194e-15,0.0,0.0,-4.67213976095963e-13
-1.25,-0.045936652719567844,300.0,0.025851999786435535,-1.0,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-1.0208310542188423,-0.010208310542188424,-0.9967609229764826,-0.7275923237234004,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,72759232.37234004,99676092.29764825,2.33,3.2800000000000002,0.07934933529414905,0.09471339631977706,3.782346,1.0,0.3001266409524835,0.09471339631977706,2.0298733590475164,3.185286603680223,0.0,0.898008,2.381264,0.167855,0.0,0.898008,2.381264,1.1318653590475165,0.8040226036802234,1200000.0,1.0,0.005081676331890702,4.839316202734844e-10,548821043.8441958,52.26461498953632,5.307983994087204e-11,1.6263817549912003e-12,1,-1.6263817549912003e-12,-1.6263817549912003e-12,1500,0.0,7.336197046160307,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,1.5990429693702663e-79,-5.548536989255148e-64,0.0,72759232.37234004,both,16.64,0.07934933529414905,0.705286603680223,99676092.29764825,72759232.37234004,0.09471339631977706,0.07934933529414905,0.705286603680223,0.720650664705851,1e-10,5e+23,1.0,157486379.86607143,3936959.9789048326,1,-0.1783285737610873,-0.0017961027416842385,-0.18012467650277153,-0.18012467650277153,0.0,6.536197046160307,500000000.0,1.7275923237234005,1.0096883803417385e-74,0,-8.721649476155503e-66,0.0,5e-10,1.0,0.9967609229739848,1e-08,0,-79172.29728790229,0.0,14.28864347468568,-1.2877978524626157,-18.400884381304184,-18.400884381304184,-18.581009057808583,3.209781e-13,10.217050247848936,1.0217050247848938e-05,-5.837396155229685e-13,-5.1094289734128303e-26,0.0,-5.658783604313451e-15,0.0,0.0,-5.780808319186039e-13
-1.5,-0.05512398326348141,300.0,0.025851999786435535,-1.0,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-1.2735282474816554,-0.012735282474816555,-1.175134986334289,-0.8991058461828296,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,89910584.61828296,117513498.6334289,2.33,3.2800000000000002,0.08820732455795646,0.10283945978150107,3.782346,1.0,0.3336306212124884,0.10283945978150107,1.9963693787875116,3.177160540218499,0.0,0.898008,2.381264,0.167855,0.0,0.898008,2.381264,1.0983613787875117,0.7958965402184992,1200000.0,1.0,0.005081676331890702,4.839316202734844e-10,548821043.8441958,52.26461498953632,1.9398658637289276e-10,2.2270724810228312e-12,1,-2.2270724810228312e-12,-2.2270724810228312e-12,1500,0.0,7.2659623779747,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,9.963408526228669e-79,-3.4572142091097855e-63,0.0,89910584.61828296,both,16.64,0.08820732455795646,0.6971605402184989,117513498.6334289,89910584.61828296,0.10283945978150107,0.08820732455795646,0.6971605402184989,0.7117926754420436,1e-10,5e+23,1.0,157486379.86607143,3936959.9789048326,1,-0.2878919669049874,-0.0031265225044372147,-0.29101848940942465,-0.29101848940942465,0.0,6.4659623779747,500000000.0,1.8991058461828296,7.104415279639583e-74,0,-6.746018295637077e-65,0.0,5e-10,1.0,1.1751349863313443,1e-08,0,-110044.097328085,0.0,14.28864347468568,-1.5347773248035748,-21.92988600715014,-21.92988600715014,-22.220904496561793,1.11847e-13,3.560200583999843,3.560200583999843e-06,-6.980903032251894e-13,-6.996554545393321e-26,0.0,-9.142615483874476e-15,0.0,0.0,-6.889476877412449e-13
-1.75,-0.06431131380739498,300.0,0.025851999786435535,-1.0,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-1.5262254407444686,-0.015262254407444687,-1.3535090496920954,-1.070619368642259,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,107061936.8642259,135350904.96920955,2.33,3.2800000000000002,0.09625355681595385,0.11036884313009171,3.782346,1.0,0.3640642556085958,0.11036884313009171,1.9659357443914043,3.1696311568699085,0.0,0.898008,2.381264,0.167855,0.0,0.898008,2.381264,1.0679277443914041,0.7883671568699087,1200000.0,1.0,0.005081676331890702,4.839316202734844e-10,548821043.8441958,52.26461498953632,6.295558393120939e-10,2.9800422728604004e-12,1,-2.9800422728604004e-12,-2.9800422728604004e-12,1500,0.0,7.195727709789093,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,6.360646926326021e-78,-2.207087953378186e-62,0.0,107061936.8642259,both,16.64,0.09625355681595385,0.6896311568699083,135350904.96920955,107061936.8642259,0.11036884313009171,0.09625355681595385,0.6896311568699083,0.7037464431840462,1e-10,5e+23,1.0,157486379.86607143,3936959.9789048326,1,-0.4437016334316538,-0.005082256572170715,-0.4487838900038245,-0.4487838900038245,0.0,6.395727709789093,500000000.0,2.0706193686422587,5.149138976025249e-73,0,-5.330953447794324e-64,0.0,5e-10,1.0,1.3535090496887037,1e-08,0,-145986.79270236735,0.0,14.28864347468568,-1.7817567971445338,-25.4588876329961,-25.4588876329961,-25.907671523002904,1.133132e-13,3.606871179512111,3.606871179512111e-06,-8.139135052828341e-13,-9.362078911805264e-26,0.0,-1.409896171885465e-14,0.0,0.0,-7.998145435638859e-13
-2.0,-0.07349864435130855,300.0,0.025851999786435535,-1.0,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-1.7789226340072817,-0.017789226340072815,-1.5318831130499018,-1.2421328911016885,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,124213289.11016884,153188311.30499017,2.33,3.2800000000000002,0.10367720238206393,0.11741638974009805,3.782346,1.0,0.39214305172099,0.11741638974009805,1.93785694827901,3.1625836102599023,0.0,0.898008,2.381264,0.167855,0.0,0.898008,2.381264,1.03984894827901,0.7813196102599025,1200000.0,1.0,0.005081676331890702,4.839316202734844e-10,548821043.8441958,52.26461498953632,1.865250951563084e-09,3.9139565214187656e-12,1,-3.9139565214187656e-12,-3.9139565214187656e-12,1500,0.0,7.1254930416034865,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,4.1651552569911906e-77,-1.4452718564847269e-61,0.0,124213289.11016884,both,16.64,0.10367720238206393,0.682583610259902,153188311.30499017,124213289.11016884,0.11741638974009805,0.10367720238206393,0.682583610259902,0.6963227976179361,1e-10,5e+23,1.0,157486379.86607143,3936959.9789048326,1,-0.6595520348578562,-0.007857806113000783,-0.667409840970857,-0.667409840970857,0.0,6.325493041603487,500000000.0,2.2421328911016882,3.8503222159696056e-72,0,-4.316467040882495e-63,0.0,5e-10,1.0,1.531883113046063,1e-08,0,-187000.38341074935,0.0,14.28864347468568,-2.0287362694854933,-28.987889258842063,-28.987889258842063,-29.655299099816833,2.59303e-13,8.253870841711546,8.253870841711546e-06,-9.316486979199257e-13,-1.2296057054159057e-25,0.0,-2.0967298533275767e-14,0.0,0.0,-9.106813993865271e-13
-2.25,-0.08268597489522213,300.0,0.025851999786435535,-1.0,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-2.031619827270095,-0.020316198272700953,-1.7102571764077086,-1.4136464135611178,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,141364641.35611176,171025717.64077085,2.33,3.2800000000000002,0.11060369518158436,0.12406423991353198,3.782346,1.0,0.4183414440552849,0.12406423991353198,1.9116585559447152,3.1559357600864684,0.0,0.898008,2.381264,0.167855,0.0,0.898008,2.381264,1.0136505559447153,0.7746717600864685,1200000.0,1.0,0.005081676331890702,4.839316202734844e-10,548821043.8441958,52.26461498953632,5.138671918769618e-09,5.061683251893666e-12,1,-5.061683251893666e-12,-5.061683251893666e-12,1500,0.0,7.055258373417879,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,2.8011171637395723e-76,-9.71962760973663e-61,0.0,141364641.35611176,both,16.64,0.11060369518158436,0.675935760086468,171025717.64077085,141364641.35611176,0.12406423991353198,0.11060369518158436,0.675935760086468,0.6893963048184157,1e-10,5e+23,1.0,157486379.86607143,3936959.9789048326,1,-0.9522781617815302,-0.01169052460248163,-0.9639686863840119,-0.9639686863840119,0.0,6.255258373417879,500000000.0,2.4136464135611178,2.9756123072308566e-71,0,-3.59103798674804e-62,0.0,5e-10,1.0,1.7102571764034227,1e-08,0,-233084.86945323108,0.0,14.28864347468568,-2.2757157418264526,-32.516890884688024,-32.516890884688024,-33.4808595710771,9.20097e-14,2.928759713480472,2.9287597134804723e-06,-1.0518322246436732e-12,-1.5901746918947636e-25,0.0,-3.0283969434346155e-14,0.0,0.0,-1.0215482552091681e-12
