voltage_v,voltage_au,temperature_k,thermal_voltage_v,legacy_bias_drive,voltage_sign,field_sign,polarization_uc_cm2,polarization_au,screening_charge_uc_cm2,screening_charge_c_m2,fe_field_mv_cm,il_field_mv_cm,dl_field_mv_cm,fe_built_in_field_mv_cm,il_built_in_field_mv_cm,dl_built_in_field_mv_cm,top_work_function_ev,bottom_work_function_ev,top_fermi_ev,bottom_fermi_ev,top_affinity_ev,fe_affinity_ev,insulator_k,fe_k,top_screening_len_nm,bottom_screening_len_nm,insulator_thickness_nm,fe_thickness_nm,top_m_eff,bottom_m_eff,insulator_m_eff,fe_m_eff,trap_depth_ev,top_field_v_per_m,bottom_field_v_per_m,top_base_barrier_ev,bottom_base_barrier_ev,top_schottky_lowering_ev,bottom_schottky_lowering_ev,thermionic_top_schottky_scale,thermionic_bottom_schottky_scale,top_schottky_effective_ev,bottom_schottky_effective_ev,top_barrier_ev,bottom_barrier_ev,thermionic_barrier_offset_ev,thermionic_top_barrier_offset_ev,thermionic_bottom_barrier_offset_ev,top_total_barrier_offset_ev,bottom_total_barrier_offset_ev,top_barrier_effective_ev,bottom_barrier_effective_ev,richardson_constant_a_per_m2_k2,thermionic_prefactor_scale,thermionic_top_prefactor_scale,thermionic_bottom_prefactor_scale,top_prefactor_a_per_m2,bottom_prefactor_a_per_m2,top_injection_a_per_m2,bottom_injection_a_per_m2,enable_thermionic,thermionic_raw_a_per_m2,thermionic_a_per_m2,barrier_sampling_points,barrier_profile_min_ev,barrier_profile_max_ev,effective_mass_min,effective_mass_max,flux_top_a_per_m2,flux_bottom_a_per_m2,tunneling_prefactor_scale,enable_tunneling,tunneling_transmission,tunneling_raw_a_per_m2,tunneling_a_per_m2,pf_field_v_per_m,poole_frenkel_field_region,poole_frenkel_region_k,pf_lowering_ev,pf_activation_ev,poole_frenkel_mobility_m2_per_v_s,poole_frenkel_trap_density_m3,poole_frenkel_prefactor_scale,enable_poole_frenkel,poole_frenkel_raw_a_per_m2,poole_frenkel_a_per_m2,tat_reduced_barrier_min_ev,tat_reduced_barrier_max_ev,trap_assisted_prefactor_a_per_m2,field_enhancement,trap_tunneling_transmission,enable_trap_assisted_tunneling,trap_assisted_tunneling_raw_a_per_m2,trap_assisted_tunneling_a_per_m2,sclc_mobility_m2_per_v_s,sclc_prefactor_scale,sclc_voltage_drop_v,sclc_thickness_m,enable_sclc,sclc_raw_a_per_m2,sclc_a_per_m2,total_a_per_m2,experimental_current_a,experimental_current_density_a_per_m2,experimental_current_density_uA_per_um2,model_total_a,model_thermionic_a,model_tunneling_a,model_pf_a,model_tat_a,model_sclc_a
0.0,0.0,300.0,0.025851999786435535,0.0,0.0,-1.0,0.34009276282656925,5.944143186191275e-05,0.24265491209522355,0.0024265491209522357,-0.10489060618745041,0.12997528857374566,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,12997528.857374566,10489060.618745042,2.33,3.2800000000000002,0.033537418782959946,0.03072445628173244,3.158804,1.0,0.10593813260128901,0.03072445628173244,2.224061867398711,3.2492755437182677,0.0,1.085158,2.491267,1.085158,2.491267,1.1389038673987109,0.7580085437182675,1200000.0,1.0,0.0063214833733174,6.991381483862092,682720204.3182791,755069200257.106,5.029211135163053e-11,0.13931686048999495,1,-0.13931686043970284,-0.13931686043970284,1500,0.0014502453789097907,7.68737038708834,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,2.3689016042775786e-83,0.0,0.0,12997528.857374566,1.0,16.64,0.033537418782959946,0.7664625812170401,1e-10,5e+23,5315547.458617731,1,0.0,0.0,0.0,6.88737038708834,500000000.0,1.1299752885737457,8.712474433435678e-79,0,0.0,0.0,5e-10,1.0,0.10489060618718757,1e-08,0,0.0,0.0,-0.13931686043970284,3.64095e-14,1.1589503801008727,1.1589503801008726e-06,-4.37676825278565e-15,-4.37676825278565e-15,0.0,0.0,0.0,0.0
-0.25,-0.00918733054391357,300.0,0.025851999786435535,-0.9998737627781501,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-0.010042281167589616,-0.00010042281167589615,-0.28326466954525686,-0.041538233885683555,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,4153823.3885683557,28326466.954525687,2.33,3.2800000000000002,0.01895934164009261,0.05049078390688644,3.158804,1.0,0.059888844210091094,0.05049078390688644,2.270111155789909,3.229509216093114,0.0,1.085158,2.491267,1.085158,2.491267,1.184953155789909,0.7382422160931137,1200000.0,1.0,0.0063214833733174,6.991381483862092,682720204.3182791,755069200257.106,8.470438069278656e-12,0.29927012724119634,1,-0.29927012724119634,-0.29927012724119634,1500,0.0,7.617135718902733,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,1.3260035073963762e-82,-4.601114322505249e-67,0.0,4153823.3885683557,1.0,16.64,0.01895934164009261,0.7810406583599074,1e-10,5e+23,5315547.458617731,1,-1.3389700182256794e-05,-1.3389700182256794e-05,0.0,6.817135718902733,500000000.0,1.0415382338856836,5.390560762144346e-78,0,-2.8072375679286436e-69,0.0,5e-10,1.0,0.283264669544547,1e-08,0,-6394.0504681682705,0.0,-0.2992835169413786,3.41051e-14,1.0855990499286798,1.0855990499286798e-06,-9.402268981635515e-15,-9.401848331798251e-15,0.0,-4.206498372634786e-19,0.0,0.0
-0.5,-0.01837466108782714,300.0,0.025851999786435535,-0.9999999920310759,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-0.26273947443040274,-0.0026273947443040276,-0.4616387329030633,-0.21305175634511284,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,21305175.634511285,46163873.29030633,2.33,3.2800000000000002,0.04293799866639262,0.06445654586817166,3.158804,1.0,0.13563272193939568,0.06445654586817166,2.1943672780606045,3.2155434541318284,0.0,1.085158,2.491267,1.085158,2.491267,1.1092092780606044,0.7242764541318283,1200000.0,1.0,0.0063214833733174,6.991381483862092,682720204.3182791,755069200257.106,1.5861600734095353e-10,0.5136624787657236,1,-0.5136624787657236,-0.5136624787657236,1500,0.0,7.546901050717127,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,7.57046910093678e-82,-2.626885495710179e-66,0.0,21305175.634511285,1.0,16.64,0.04293799866639262,0.7570620013336075,1e-10,5e+23,5315547.458617731,1,-0.00017363275357573969,-0.00017363275357573969,0.0,6.746901050717127,500000000.0,1.2130517563451129,3.4143979946507203e-77,0,-2.070920742136144e-68,0.0,5e-10,1.0,0.46163873290190643,1e-08,0,-16982.26917195227,0.0,-0.5138361115192993,1.234048e-13,3.928096784253345,3.928096784253345e-06,-1.6142637530981767e-14,-1.6137182697151206e-14,0.0,-5.454833830561107e-18,0.0,0.0
-0.75,-0.027561991631740706,300.0,0.025851999786435535,-0.999999999999497,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-0.5154366676932159,-0.005154366676932159,-0.6400127962608698,-0.38456527880454205,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,38456527.880454205,64001279.62608698,2.33,3.2800000000000002,0.057687839477003455,0.07589448827800035,3.158804,1.0,0.18222457809131642,0.07589448827800035,2.1477754219086838,3.204105511722,0.0,1.085158,2.491267,1.085158,2.491267,1.0626174219086837,0.712838511722,1200000.0,1.0,0.0063214833733174,6.991381483862092,682720204.3182791,755069200257.106,9.617357228540076e-10,0.79951537289432,1,-0.79951537289432,-0.79951537289432,1500,0.0,7.47666638253152,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,4.411863004439491e-81,-1.5308772522416528e-65,0.0,38456527.880454205,1.0,16.64,0.057687839477003455,0.7423121605229965,1e-10,5e+23,5315547.458617731,1,-0.0005545018817162594,-0.0005545018817162594,0.0,6.67666638253152,500000000.0,1.384565278804542,2.2163267775107093e-76,0,-1.5343245513130436e-67,0.0,5e-10,1.0,0.640012796259266,1e-08,0,-32641.38320983595,0.0,-0.8000698747760362,1.338367e-13,4.260154474421413,4.260154474421413e-06,-2.5134936409549013e-14,-2.5117516219168998e-14,0.0,-1.742019038001517e-17,0.0,0.0
-1.0,-0.03674932217565428,300.0,0.025851999786435535,-1.0,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-0.7681338609560292,-0.007681338609560292,-0.8183868596186762,-0.5560788012639712,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,55607880.126397125,81838685.96186762,2.33,3.2800000000000002,0.0693693153892548,0.08582132833220042,3.158804,1.0,0.2191240709288396,0.08582132833220042,2.1108759290711605,3.1941786716678,0.0,1.085158,2.491267,1.085158,2.491267,1.0257179290711604,0.7029116716677999,1200000.0,1.0,0.0063214833733174,6.991381483862092,682720204.3182791,755069200257.106,4.008112886195214e-09,1.1737899637743807,1,-1.1737899637743807,-1.1737899637743807,1500,0.0,7.4064317143459135,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,2.626664895690464e-80,-9.11429374399872e-65,0.0,55607880.126397125,1.0,16.64,0.0693693153892548,0.7306306846107452,1e-10,5e+23,5315547.458617731,1,-0.0012598227634156775,-0.0012598227634156775,0.0,6.606431714345914,500000000.0,1.5560788012639712,1.4759834883491552e-75,0,-1.148373308617884e-66,0.0,5e-10,1.0,0.8183868596166254,1e-08,0,-53371.392581819295,0.0,-1.1750497865377965,3.538931e-13,11.264767238222884,1.1264767238222884e-05,-3.691527776989396e-14,-3.6875699270510244e-14,0.0,-3.957849938371885e-17,0.0,0.0
-1.25,-0.045936652719567844,300.0,0.025851999786435535,-1.0,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-1.0208310542188423,-0.010208310542188424,-0.9967609229764826,-0.7275923237234004,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,72759232.37234004,99676092.29764825,2.33,3.2800000000000002,0.07934933529414905,0.09471339631977706,3.158804,1.0,0.25064899772449917,0.09471339631977706,2.079351002275501,3.185286603680223,0.0,1.085158,2.491267,1.085158,2.491267,0.994193002275501,0.6940196036802231,1200000.0,1.0,0.0063214833733174,6.991381483862092,682720204.3182791,755069200257.106,1.3568611439740568e-08,1.6556577235201393,1,-1.6556577235201393,-1.6556577235201393,1500,0.0,7.336197046160307,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,1.5990429693702663e-79,-5.548536989255148e-64,0.0,72759232.37234004,1.0,16.64,0.07934933529414905,0.720650664705851,1e-10,5e+23,5315547.458617731,1,-0.0024250359198804486,-0.0024250359198804486,0.0,6.536197046160307,500000000.0,1.7275923237234005,1.0096883803417385e-74,0,-8.721649476155503e-66,0.0,5e-10,1.0,0.9967609229739848,1e-08,0,-79172.29728790229,0.0,-1.6580827594400198,3.209781e-13,10.217050247848936,1.0217050247848938e-05,-5.209020616100659e-14,-5.201402141070071e-14,0.0,-7.618475030587784e-17,0.0,0.0
-1.5,-0.05512398326348141,300.0,0.025851999786435535,-1.0,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-1.2735282474816554,-0.012735282474816555,-1.175134986334289,-0.8991058461828296,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,89910584.61828296,117513498.6334289,2.33,3.2800000000000002,0.08820732455795646,0.10283945978150107,3.158804,1.0,0.2786296496429711,0.10283945978150107,2.051370350357029,3.177160540218499,0.0,1.085158,2.491267,1.085158,2.491267,0.966212350357029,0.6858935402184989,1200000.0,1.0,0.0063214833733174,6.991381483862092,682720204.3182791,755069200257.106,4.0048814944499874e-08,2.267161287765766,1,-2.267161287765766,-2.267161287765766,1500,0.0,7.2659623779747,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,9.963408526228669e-79,-3.4572142091097855e-63,0.0,89910584.61828296,1.0,16.64,0.08820732455795646,0.7117926754420436,1e-10,5e+23,5315547.458617731,1,-0.0042213227571074865,-0.0042213227571074865,0.0,6.4659623779747,500000000.0,1.8991058461828296,7.104415279639583e-74,0,-6.746018295637077e-65,0.0,5e-10,1.0,1.1751349863313443,1e-08,0,-110044.097328085,0.0,-2.2713826105228736,1.11847e-13,3.560200583999843,3.560200583999843e-06,-7.135758922710266e-14,-7.122497246148107e-14,0.0,-1.326167656216029e-16,0.0,0.0
-1.75,-0.06431131380739498,300.0,0.025851999786435535,-1.0,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-1.5262254407444686,-0.015262254407444687,-1.3535090496920954,-1.070619368642259,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,107061936.8642259,135350904.96920955,2.33,3.2800000000000002,0.09625355681595385,0.11036884313009171,3.158804,1.0,0.30404612028446226,0.11036884313009171,2.0259538797155376,3.1696311568699085,0.0,1.085158,2.491267,1.085158,2.491267,0.9407958797155376,0.6783641568699084,1200000.0,1.0,0.0063214833733174,6.991381483862092,682720204.3182791,755069200257.106,1.0704529516207175e-07,3.033685043708897,1,-3.033685043708897,-3.033685043708897,1500,0.0,7.195727709789093,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,6.360646926326021e-78,-2.207087953378186e-62,0.0,107061936.8642259,1.0,16.64,0.09625355681595385,0.7037464431840462,1e-10,5e+23,5315547.458617731,1,-0.00686188738290406,-0.00686188738290406,0.0,6.395727709789093,500000000.0,2.0706193686422587,5.149138976025249e-73,0,-5.330953447794324e-64,0.0,5e-10,1.0,1.3535090496887037,1e-08,0,-145986.79270236735,0.0,-3.0405469310918014,1.133132e-13,3.606871179512111,3.606871179512111e-06,-9.552159901612995e-14,-9.530602646621102e-14,0.0,-2.1557254991891888e-16,0.0,0.0
-2.0,-0.07349864435130855,300.0,0.025851999786435535,-1.0,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-1.7789226340072817,-0.017789226340072815,-1.5318831130499018,-1.2421328911016885,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,124213289.11016884,153188311.30499017,2.33,3.2800000000000002,0.10367720238206393,0.11741638974009805,3.158804,1.0,0.32749596159327304,0.11741638974009805,2.002504038406727,3.1625836102599023,0.0,1.085158,2.491267,1.085158,2.491267,0.9173460384067271,0.6713166102599022,1200000.0,1.0,0.0063214833733174,6.991381483862092,682720204.3182791,755069200257.106,2.651597370068346e-07,3.9844103786346636,1,-3.9844103786346636,-3.9844103786346636,1500,0.0,7.1254930416034865,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,4.1651552569911906e-77,-1.4452718564847269e-61,0.0,124213289.11016884,1.0,16.64,0.10367720238206393,0.6963227976179361,1e-10,5e+23,5315547.458617731,1,-0.010609338560228691,-0.010609338560228691,0.0,6.325493041603487,500000000.0,2.2421328911016882,3.8503222159696056e-72,0,-4.316467040882495e-63,0.0,5e-10,1.0,1.531883113046063,1e-08,0,-187000.38341074935,0.0,-3.9950197171948925,2.59303e-13,8.253870841711546,8.253870841711546e-06,-1.2550724594485849e-13,-1.2517394374405587e-13,0.0,-3.333022008026137e-16,0.0,0.0
-2.25,-0.08268597489522213,300.0,0.025851999786435535,-1.0,-1.0,-1.0,0.34009276282656925,5.944143186191275e-05,-2.031619827270095,-0.020316198272700953,-1.7102571764077086,-1.4136464135611178,0.0,-0.036111111111201626,-0.03472222222230925,0.0,4.33,4.28,4.354,4.354,2.0,1.0,16.64,16.0,0.005291772109038001,0.005291772109038001,4.0,10.0,1.0,1.0,0.11,0.3,0.8,141364641.35611176,171025717.64077085,2.33,3.2800000000000002,0.11060369518158436,0.12406423991353198,3.158804,1.0,0.3493753947543694,0.12406423991353198,1.9806246052456307,3.1559357600864684,0.0,1.085158,2.491267,1.085158,2.491267,0.8954666052456306,0.6646687600864682,1200000.0,1.0,0.0063214833733174,6.991381483862092,682720204.3182791,755069200257.106,6.181101560247227e-07,5.152796964360698,1,-5.152796964360698,-5.152796964360698,1500,0.0,7.055258373417879,0.11,0.3,3469911125302822.5,3469911125302822.5,1.0,0,2.8011171637395723e-76,-9.71962760973663e-61,0.0,141364641.35611176,1.0,16.64,0.11060369518158436,0.6893963048184157,1e-10,5e+23,5315547.458617731,1,-0.015784142758269937,-0.015784142758269937,0.0,6.255258373417879,500000000.0,2.4136464135611178,2.9756123072308566e-71,0,-3.59103798674804e-62,0.0,5e-10,1.0,1.7102571764034227,1e-08,0,-233084.86945323108,0.0,-5.1685811071189685,9.20097e-14,2.928759713480472,2.9287597134804723e-06,-1.6237576435607954e-13,-1.618798908867536e-13,0.0,-4.958734693259337e-16,0.0,0.0
