sweep_name,voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,model_background_a,polarization_uc_cm2
1st2KB_B64-T51,0.0,3.64094910091598e-14,-8.711612055114453e-14,-2.1753080544807896e-30,4.936499767426278e-25,-8.711612055163818e-14,4.591945268688369
1st2KB_B64-T51,-0.25,3.41051277117591e-14,-3.284270414004501e-13,-8.473940584490561e-30,-6.676347425240898e-30,-3.284270414004501e-13,4.591945268688369
1st2KB_B64-T51,-0.5,1.23404812844147e-13,-5.697379622492622e-13,-2.9441491915862044e-29,-3.29268864653253e-29,-5.697379622492621e-13,4.591945268688369
1st2KB_B64-T51,-0.75,1.33836735097259e-13,-8.110488830980743e-13,-9.34426520673424e-29,-1.4627439453148694e-28,-8.110488830980741e-13,4.591945268688369
1st2KB_B64-T51,-1.0,3.53893102973332e-13,-1.0523598039468869e-12,-2.7547908172622736e-28,-5.960629874665997e-28,-1.0523598039468859e-12,4.591945268688369
1st2KB_B64-T51,-1.25,3.20978080269388e-13,-1.2936707247957012e-12,-7.63611702417826e-28,-2.2582207204196424e-27,-1.2936707247956982e-12,4.591945268688369
1st2KB_B64-T51,-1.5,1.11846980516226e-13,-1.5349816456445202e-12,-2.0085580271005925e-27,-8.036341003222089e-27,-1.5349816456445103e-12,4.591945268688369
1st2KB_B64-T51,-1.75,1.13313153890342e-13,-1.7762925664933543e-12,-5.0491629254495106e-27,-2.7081578026763305e-26,-1.7762925664933222e-12,4.591945268688369
1st2KB_B64-T51,-2.0,2.59303022847115e-13,-2.017603487342233e-12,-1.2199334245746842e-26,-8.698104322630358e-26,-2.017603487342134e-12,4.591945268688369
1st2KB_B64-T51,-2.25,9.20096518506469e-14,-2.2589144081912427e-12,-2.845935509223049e-26,-2.6767373974822635e-25,-2.2589144081909466e-12,4.591945268688369
1st2KB_B64-T51,-2.5,2.24742614926207e-13,-2.500225329040616e-12,-6.434634505973791e-26,-7.927213210505788e-25,-2.500225329039759e-12,4.591945268688369
1st2KB_B64-T51,-2.75,2.35509121969749e-13,-2.74153624989098e-12,-1.414487014705767e-25,-2.267606031193201e-24,-2.741536249888571e-12,4.591945268688369
1st2KB_B64-T51,-3.0,2.52749535710473e-13,-2.9828471707439707e-12,-3.0311263050586824e-25,-6.285000348687453e-24,-2.9828471707373823e-12,4.591945268688369
1st2KB_B64-T51,-3.25,3.9838588699638e-13,-3.224158091603753e-12,-6.346344066770841e-25,-1.692385892614074e-23,-3.2241580915861947e-12,4.591945268688369
1st2KB_B64-T51,-3.5,3.88523197988877e-13,-3.4623192405679124e-12,-9.587615342357663e-25,-2.6987532311722975e-23,-3.462319240539966e-12,4.213947801920987
1st2KB_B64-T51,-3.75,3.19186517494519e-13,-3.7010145786661695e-12,-1.5144378755483146e-24,-4.640397428643417e-23,-3.701014578618251e-12,3.900057242755112
1st2KB_B64-T51,-4.0,4.73744632932538e-13,-3.934647383223492e-12,-1.467523744071649e-24,-3.5950028020104663e-23,-3.934647383186074e-12,2.9786227387744435
1st2KB_B64-T51,-4.25,5.273172848895e-13,-4.1687077773333414e-12,-1.4815123147153025e-24,-2.9778252080998256e-23,-4.168707777302082e-12,2.1085023525827262
1st2KB_B64-T51,-4.5,5.80207973679969e-13,-4.405577121504795e-12,-1.954506843173104e-24,-3.8220166168716444e-23,-4.40557712146462e-12,1.575478123587471
1st2KB_B64-T51,-4.75,7.69852606143095e-13,-4.639408185660085e-12,-1.9305109433217566e-24,-3.0545760680668354e-23,-4.639408185627608e-12,0.6778363345184353
1st2KB_B64-T51,-5.0,9.87505216487605e-13,-4.874651796013991e-12,-2.1794673953221048e-24,-3.0391870098705144e-23,-4.87465179598142e-12,-0.05028877219561237
1st2KB_B64-T51,-5.25,1.32566917512844e-12,-5.108327240158248e-12,-2.121409775346517e-24,-2.371220991111227e-23,-5.108327240132415e-12,-0.9666061899361434
