sweep_name,voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,model_background_a,polarization_uc_cm2
1st2KB_B64-T51,0.0,3.64094910091598e-14,1.1779362037798657e-11,1.1922540275465149e-23,1.1789374774115421e-11,-1.0012736328685975e-14,0.4718873060077289
1st2KB_B64-T51,-0.25,3.41051277117591e-14,-5.57871560935846e-14,1.9150015057093945e-26,-7.2807955533510505e-25,-5.578715609287567e-14,0.4718873060077289
1st2KB_B64-T51,-0.5,1.23404812844147e-13,-1.0156157586256953e-13,-4.160041223075754e-24,-1.3441423650196319e-24,-1.0156157585706536e-13,0.4718873060077289
1st2KB_B64-T51,-0.75,1.33836735097259e-13,-1.4733599574912552e-13,-1.2563652647984897e-22,-2.233883134140036e-24,-1.4733599562125508e-13,0.4718873060077289
1st2KB_B64-T51,-1.0,3.53893102973332e-13,-1.9311041679322246e-13,-1.404297153279155e-21,-3.480585959043226e-24,-1.9311041538544471e-13,0.4718873060077289
1st2KB_B64-T51,-1.25,3.20978080269388e-13,-2.388848451167871e-13,-9.961967254657494e-21,-5.185376722426283e-24,-2.388848351496344e-13,0.4718873060077289
1st2KB_B64-T51,-1.5,1.11846980516226e-13,-2.8465930870545563e-13,-5.378416060438502e-20,-7.470862050886333e-24,-2.8465925491382416e-13,0.4718873060077289
1st2KB_B64-T51,-1.75,1.13313153890342e-13,-3.304339156877935e-13,-2.4099929466563113e-19,-1.0484971596892963e-23,-3.304336746780139e-13,0.4718873060077289
1st2KB_B64-T51,-2.0,2.59303022847115e-13,-3.7620903580787505e-13,-9.413512663109994e-19,-1.4405270195261733e-23,-3.762080944422035e-13,0.4718873060077289
1st2KB_B64-T51,-2.25,9.20096518506469e-14,-4.219858201156447e-13,-3.3058898075289525e-18,-1.944385234118189e-23,-4.2198251420639335e-13,0.4718873060077289
1st2KB_B64-T51,-2.5,2.24742614926207e-13,-4.677675928293466e-13,-1.0658832910824908e-17,-2.585290595290418e-23,-4.677569339705829e-13,0.4718873060077289
1st2KB_B64-T51,-2.75,2.35509121969749e-13,-5.135633789481325e-13,-3.2025179428900566e-17,-3.3931031392453654e-23,-5.135313537347726e-13,0.4718873060077289
1st2KB_B64-T51,-3.0,2.52749535710473e-13,-5.593964383352997e-13,-9.066479230712552e-17,-4.4030407414585774e-23,-5.593057734989623e-13,0.4718873060077289
1st2KB_B64-T51,-3.25,3.9838588699638e-13,-6.053241030735854e-13,-2.439097538684642e-16,-5.656490401409205e-23,-6.050801932631521e-13,0.4718873060077289
1st2KB_B64-T51,-3.5,3.88523197988877e-13,-6.514823121248723e-13,-6.276990255113069e-16,-7.201925193824072e-23,-6.508546130273417e-13,0.4718873060077289
1st2KB_B64-T51,-3.75,3.19186517494519e-13,-6.98182570570816e-13,-1.5535376883252996e-15,-9.095938961380734e-23,-6.966290327915313e-13,0.4718873060077289
1st2KB_B64-T51,-4.0,4.73744632932538e-13,-7.461173566993622e-13,-3.713904029596986e-15,-1.1404412034547302e-22,-7.424034525557211e-13,0.4718873060077289
1st2KB_B64-T51,-4.25,5.273172848895e-13,-7.967847264820085e-13,-8.606854020059468e-15,-1.4203822590305805e-22,-7.881778723199108e-13,0.4718873060077289
1st2KB_B64-T51,-4.5,5.80207973679969e-13,-8.53346754617184e-13,-1.939446235725628e-14,-1.7582719709652884e-22,-8.339522920841006e-13,0.4718873060077289
1st2KB_B64-T51,-4.75,7.69852606143095e-13,-1.0022730775351564e-12,-1.2332999921178297e-13,-1.7183664981725172e-22,-8.789430781515367e-13,-0.023879011661073108
1st2KB_B64-T51,-5.0,9.87505216487605e-13,-1.534133139780358e-12,-6.100941990908017e-13,-1.7302016977973136e-22,-9.240389405165362e-13,-0.4531687480737568
1st2KB_B64-T51,-5.25,1.32566917512844e-12,-7.44396507702116e-12,-6.475553454612728e-12,-1.407912801850091e-22,-9.68411622267641e-13,-1.339979123843348
1st2KB_B64-T51,-5.5,1.54214466717428e-12,-9.540565161199357e-12,-8.52731986088391e-12,-1.3113478131192152e-22,-1.0132453001843119e-12,-1.935140005201073
1st2KB_B64-T51,-5.75,2.28889585236758e-12,-1.0793456541305101e-11,-9.73607244632473e-12,-9.965244271309936e-23,-1.0573840948807186e-12,-2.969919163244977
1st2KB_B64-T51,-6.0,1.9781023607307e-12,-1.1808640802501373e-11,-1.070668538312095e-11,-8.59517732834569e-23,-1.101955419294472e-12,-3.731058142032557
1st2KB_B64-T51,-6.25,2.36019060198545e-12,-1.2765307423043409e-11,-1.1618674201090339e-11,-7.646950270616258e-23,-1.146633221876602e-12,-4.424833645171537
1st2KB_B64-T51,-6.5,3.05637307997098e-12,-1.4081962932673638e-11,-1.2891306940676335e-11,-5.619043769420008e-23,-1.1906559919411111e-12,-5.533015854607376
1st2KB_B64-T51,-6.75,3.67990273669738e-12,-1.5019700328452973e-11,-1.3784332090433572e-11,-5.050372172969324e-23,-1.2353682379688945e-12,-6.2050006916607705
1st2KB_B64-T51,-7.0,4.41931083741687e-12,-1.6027743457736494e-11,-1.4747790901370905e-11,-4.372402969318162e-23,-1.2799525563218668e-12,-6.9579190471835375
1st2KB_B64-T51,-7.25,8.95244035153953e-12,-1.717231949212382e-11,-1.5848031051449836e-11,-3.521496449725638e-23,-1.324288440638769e-12,-7.8680093412739165
1st2KB_B64-T51,-7.5,1.09580833990153e-11,-1.8454753989387986e-11,-1.7086380510414783e-11,-2.6365151744292602e-23,-1.368373478946838e-12,-8.936797509915767
1st2KB_B64-T51,-7.75,9.60346385747712e-12,-1.9444158109647966e-11,-1.80311663969534e-11,-2.3060180868510076e-23,-1.4129917126715047e-12,-9.668259285652661
1st2KB_B64-T51,-8.0,1.34826455555626e-11,-2.0404786143050546e-11,-1.8947123835926897e-11,-2.0477191650005524e-23,-1.457662307103172e-12,-10.366595029407831
1st2KB_B64-T51,-8.25,1.91266273652513e-11,-2.174302170193119e-11,-2.0241375891611027e-11,-1.4893681879851313e-23,-1.5016458103052667e-12,-11.499619442370864
1st2KB_B64-T51,-8.5,3.62615978910519e-11,-2.2678123024044465e-11,-2.1131760171121826e-11,-1.340907143321688e-23,-1.5463628529092315e-12,-12.168569722691366
1st2KB_B64-T51,-8.75,8.20692888647834e-11,-2.389061327578886e-11,-2.2300038114646434e-11,-1.042724204216005e-23,-1.5905751611319946e-12,-13.156840505187551
1st2KB_B64-T51,-9.0,1.37386643728199e-10,-2.503885435999447e-11,-2.3403949983428577e-11,-8.389889347198449e-24,-1.6349043765575019e-12,-14.071149877329342
1st2KB_B64-T51,-9.25,2.77503853229888e-10,-2.6017582109146767e-11,-2.433804007222889e-11,-7.383876763611703e-24,-1.679542036910494e-12,-14.790321385266157
1st2KB_B64-T51,-9.5,6.29410579211509e-10,-2.6964221869190512e-11,-2.5239983784905943e-11,-6.608750895804448e-24,-1.7242380842779597e-12,-15.472554314266944
1st2KB_B64-T51,-9.25,5.32822119758691e-10,-2.6610227620169624e-11,-2.4931763955650465e-11,-5.394731362714803e-24,-1.6784636645137692e-12,-15.472554314266944
1st2KB_B64-T51,-9.0,4.35702390833015e-10,-2.6256233374288566e-11,-2.4623544129534605e-11,-4.380749435223178e-24,-1.6326892447495803e-12,-15.472554314266944
