sweep_name,voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,model_background_a,polarization_uc_cm2
1st2KB_B64-T51,0.0,3.64094910091598e-14,-4.493133057300774e-14,-4.461545046118053e-23,1.7027131139919002e-33,-4.4931330528392285e-14,0.4718873060077289
1st2KB_B64-T51,-0.25,3.41051277117591e-14,-2.5034027486045576e-13,-1.4961451688111176e-21,-5.316443778593712e-46,-2.503402733643106e-13,0.4718873060077289
1st2KB_B64-T51,-0.5,1.23404812844147e-13,-4.557492326811426e-13,-1.6480913711972578e-20,-6.279128723322907e-46,-4.557492162002289e-13,0.4718873060077289
1st2KB_B64-T51,-0.75,1.33836735097259e-13,-6.611582717514424e-13,-1.1271529515235375e-19,-7.207513932905105e-46,-6.611581590361472e-13,0.4718873060077289
1st2KB_B64-T51,-1.0,3.53893102973332e-13,-8.665676850985773e-13,-5.832265120067054e-19,-8.129515532720571e-46,-8.665671018720653e-13,0.4718873060077289
1st2KB_B64-T51,-1.25,3.20978080269388e-13,-1.0719785459673808e-12,-2.5012593969965373e-18,-9.058584429788666e-46,-1.0719760447079838e-12,0.4718873060077289
1st2KB_B64-T51,-1.5,1.11846980516226e-13,-1.2773943409707896e-12,-9.35342688741736e-18,-1.0002528173969645e-45,-1.2773849875439022e-12,0.4718873060077289
1st2KB_B64-T51,-1.75,1.13313153890342e-13,-1.4828254055506439e-12,-3.147517082319741e-17,-1.0966457511427078e-45,-1.4827939303798206e-12,0.4718873060077289
1st2KB_B64-T51,-2.0,2.59303022847115e-13,-1.6883002227586292e-12,-9.73495428910222e-17,-1.195402295844075e-45,-1.6882028732157384e-12,0.4718873060077289
1st2KB_B64-T51,-2.25,9.20096518506469e-14,-1.893892728583775e-12,-2.8091253211757857e-16,-1.2968014147551896e-45,-1.8936118160516574e-12,0.4718873060077289
1st2KB_B64-T51,-2.5,2.24742614926207e-13,-2.0997854373581673e-12,-7.646784705923953e-16,-1.4010681087278364e-45,-2.0990207588875747e-12,0.4718873060077289
1st2KB_B64-T51,-2.75,2.35509121969749e-13,-2.3064099321839493e-12,-1.9802304604559937e-15,-1.5083919755625097e-45,-2.3044297017234933e-12,0.4718873060077289
1st2KB_B64-T51,-3.0,2.52749535710473e-13,-2.5147493591940616e-12,-4.910714634649956e-15,-1.618938574089463e-45,-2.5098386445594115e-12,0.4718873060077289
1st2KB_B64-T51,-3.25,3.9838588699638e-13,-2.726971023039795e-12,-1.1723435644464378e-14,-1.7328567148589286e-45,-2.7152475873953305e-12,0.4718873060077289
1st2KB_B64-T51,-3.5,3.88523197988877e-13,-2.947715425904838e-12,-2.7058895673589464e-14,-1.8502833205044056e-45,-2.9206565302312487e-12,0.4718873060077289
1st2KB_B64-T51,-3.75,3.19186517494519e-13,-3.1866624579744645e-12,-6.059698490729859e-14,-1.9713467720304958e-45,-3.126065473067166e-12,0.4718873060077289
1st2KB_B64-T51,-4.0,4.73744632932538e-13,-3.463533591291029e-12,-1.3205917538794417e-13,-2.0961692770165155e-45,-3.331474415903085e-12,0.4718873060077289
1st2KB_B64-T51,-4.25,5.273172848895e-13,-3.817657226033486e-12,-2.80773867294483e-13,-2.2248685861760895e-45,-3.5368833587390037e-12,0.4718873060077289
1st2KB_B64-T51,-4.5,5.80207973679969e-13,-4.325941349531617e-12,-5.836490479566951e-13,-2.3575592640572617e-45,-3.742292301574922e-12,0.4718873060077289
1st2KB_B64-T51,-4.75,7.69852606143095e-13,-4.74299704138691e-12,-7.988122887208036e-13,-2.155222111023282e-45,-3.944184752666107e-12,-0.023879011661073108
