sweep_name,voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,model_background_a,polarization_uc_cm2
1st2KB_B64-T51,0.0,3.64094910091598e-14,-1.9907150433867274e-13,-2.2177546857385186e-38,-4.4972199661257926e-32,-1.9907150433867274e-13,0.4718873060077289
1st2KB_B64-T51,-0.25,3.41051277117591e-14,-1.109150657884403e-12,-7.437071517551829e-37,-2.889609971019208e-31,-1.109150657884403e-12,0.4718873060077289
1st2KB_B64-T51,-0.5,1.23404812844147e-13,-2.019229811430133e-12,-8.192369063219866e-36,-1.1284003197835452e-30,-2.019229811430133e-12,0.4718873060077289
1st2KB_B64-T51,-0.75,1.33836735097259e-13,-2.9293089649758642e-12,-5.602876837386936e-35,-3.488618859859421e-30,-2.9293089649758642e-12,0.4718873060077289
1st2KB_B64-T51,-1.0,3.53893102973332e-13,-3.839388118521594e-12,-2.8991152537509952e-34,-9.344977551557255e-30,-3.839388118521594e-12,0.4718873060077289
1st2KB_B64-T51,-1.25,3.20978080269388e-13,-4.749467272067325e-12,-1.2433315568029822e-33,-2.2659772009312672e-29,-4.749467272067325e-12,0.4718873060077289
1st2KB_B64-T51,-1.5,1.11846980516226e-13,-5.659546425613055e-12,-4.6494221380396885e-33,-5.100719900722696e-29,-5.659546425613055e-12,0.4718873060077289
1st2KB_B64-T51,-1.75,1.13313153890342e-13,-6.5696255791587854e-12,-1.5645747573097483e-32,-1.0831562508903474e-28,-6.5696255791587854e-12,0.4718873060077289
1st2KB_B64-T51,-2.0,2.59303022847115e-13,-7.479704732704513e-12,-4.839072623259011e-32,-2.193890000182229e-28,-7.479704732704513e-12,0.4718873060077289
1st2KB_B64-T51,-2.25,9.20096518506469e-14,-8.38978388625025e-12,-1.3963662317575355e-31,-4.272133115988065e-28,-8.38978388625025e-12,0.4718873060077289
1st2KB_B64-T51,-2.5,2.24742614926207e-13,-9.299863039795976e-12,-3.801080665352049e-31,-8.04557287906129e-28,-9.299863039795976e-12,0.4718873060077289
1st2KB_B64-T51,-2.75,2.35509121969749e-13,-1.0209942193341708e-11,-9.843373398951974e-31,-1.4721055237857414e-27,-1.0209942193341707e-11,0.4718873060077289
1st2KB_B64-T51,-3.0,2.52749535710473e-13,-1.1120021346887438e-11,-2.441028898900304e-30,-2.6264084319341174e-27,-1.1120021346887436e-11,0.4718873060077289
1st2KB_B64-T51,-3.25,3.9838588699638e-13,-1.2030100500433175e-11,-5.827511336254942e-30,-4.582422428211144e-27,-1.2030100500433169e-11,0.4718873060077289
1st2KB_B64-T51,-3.5,3.88523197988877e-13,-1.2940179653978906e-11,-1.3450495747706747e-29,-7.837516598558504e-27,-1.29401796539789e-11,0.4718873060077289
1st2KB_B64-T51,-3.75,3.19186517494519e-13,-1.3850258807524638e-11,-3.0121683369916764e-29,-1.316677052813415e-26,-1.3850258807524625e-11,0.4718873060077289
1st2KB_B64-T51,-4.0,4.73744632932538e-13,-1.476033796107038e-11,-6.564426717291729e-29,-2.1763494427366548e-26,-1.4760337961070357e-11,0.4718873060077289
1st2KB_B64-T51,-4.25,5.273172848895e-13,-1.5670417114616127e-11,-1.395676953585981e-28,-3.5444586263791417e-26,-1.5670417114616092e-11,0.4718873060077289
1st2KB_B64-T51,-4.5,5.80207973679969e-13,-1.6580496268161878e-11,-2.901215604802696e-28,-5.694816090637197e-26,-1.658049626816182e-11,0.4718873060077289
1st2KB_B64-T51,-4.75,7.69852606143095e-13,-1.7474995351111303e-11,-3.970753803948473e-28,-6.22513623292762e-26,-1.7474995351111238e-11,-0.023879011661073108
1st2KB_B64-T51,-5.0,9.87505216487605e-13,-1.8371583542965587e-11,-5.708403022624242e-28,-7.135739944450556e-26,-1.8371583542965516e-11,-0.4531687480737568
1st2KB_B64-T51,-5.25,1.32566917512844e-12,-1.9253793582036164e-11,-5.686595226437601e-28,-5.798611111972696e-26,-1.9253793582036106e-11,-1.339979123843348
1st2KB_B64-T51,-5.5,1.54214466717428e-12,-2.014516906771007e-11,-7.138574123093538e-28,-5.858273362606169e-26,-2.0145169067710012e-11,-1.935140005201073
1st2KB_B64-T51,-5.75,2.28889585236758e-12,-2.1022729004521318e-11,-6.325851835154248e-28,-4.2635618827044673e-26,-2.1022729004521276e-11,-2.969919163244977
1st2KB_B64-T51,-6.0,1.9781023607307e-12,-2.1908888422900537e-11,-6.960925886418695e-28,-3.8053379044272385e-26,-2.1908888422900498e-11,-3.731058142032557
1st2KB_B64-T51,-6.25,2.36019060198545e-12,-2.2797164821939408e-11,-8.073626565104048e-28,-3.56991631041537e-26,-2.2797164821939372e-11,-4.424833645171537
1st2KB_B64-T51,-6.5,3.05637307997098e-12,-2.367241797694257e-11,-6.75518709160936e-28,-2.4611733364988027e-26,-2.3672417976942548e-11,-5.533015854607376
1st2KB_B64-T51,-6.75,3.67990273669738e-12,-2.4561379174653427e-11,-7.97174912482319e-28,-2.347040139694214e-26,-2.45613791746534e-11,-6.2050006916607705
1st2KB_B64-T51,-7.0,4.41931083741687e-12,-2.5447796936300936e-11,-8.821254596605663e-28,-2.1069238115069422e-26,-2.5447796936300916e-11,-6.9579190471835375
1st2KB_B64-T51,-7.25,8.95244035153953e-12,-2.632927537510342e-11,-8.629309900473733e-28,-1.6835955334885973e-26,-2.63292753751034e-11,-7.8680093412739165
1st2KB_B64-T51,-7.5,1.09580833990153e-11,-2.7205766536632583e-11,-7.451312865803507e-28,-1.1960268229754793e-26,-2.7205766536632567e-11,-8.936797509915767
1st2KB_B64-T51,-7.75,9.60346385747712e-12,-2.809285859787632e-11,-8.38755375947064e-28,-1.0913359939429778e-26,-2.809285859787629e-11,-9.668259285652661
1st2KB_B64-T51,-8.0,1.34826455555626e-11,-2.898099168570757e-11,-9.683565544907796e-28,-1.0202161689015126e-26,-2.8980991685705418e-11,-10.366595029407831
1st2KB_B64-T51,-8.25,1.91266273652513e-11,-2.985546414435871e-11,-7.9554738289483165e-28,-6.916426141652681e-27,-2.985546414369282e-11,-11.499619442370864
1st2KB_B64-T51,-8.5,3.62615978910519e-11,-3.074452074127691e-11,-9.40077625892646e-28,-6.610198995708724e-27,-3.0744520706107667e-11,-12.168569722691366
1st2KB_B64-T51,-8.75,8.20692888647834e-11,-3.162354548053264e-11,-8.650888805613198e-28,-4.98962611660769e-27,-3.162354222622649e-11,-13.156840505187551
1st2KB_B64-T51,-9.0,1.37386643728199e-10,-3.250506760360419e-11,-8.434558657770096e-28,-3.978507868795566e-27,-3.250488807527542e-11,-14.071149877329342
1st2KB_B64-T51,-9.25,2.77503853229888e-10,-3.339803751477205e-11,-9.580516007387934e-28,-3.664743107906021e-27,-3.339236637340764e-11,-14.790321385266157
