sweep_name,voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,model_background_a,polarization_uc_cm2
1st2KB_B64-T51,0.0,3.64094910091598e-14,-4.493407392826701e-14,-4.461225729643583e-23,1.7024895467652314e-33,-4.493407388365475e-14,0.4718873060077289
1st2KB_B64-T51,-0.25,3.41051277117591e-14,-2.5035555979178217e-13,-1.496038088462111e-21,-3.5488707985641064e-46,-2.5035555829574404e-13,0.4718873060077289
1st2KB_B64-T51,-0.5,1.23404812844147e-13,-4.557770591875675e-13,-1.6479734159326994e-20,-6.628825841737296e-46,-4.557770427078333e-13,0.4718873060077289
1st2KB_B64-T51,-0.75,1.33836735097259e-13,-6.611986398271508e-13,-1.1270722802531631e-19,-1.1123995753019525e-45,-6.611985271199228e-13,0.4718873060077289
1st2KB_B64-T51,-1.0,3.53893102973332e-13,-8.666205947167818e-13,-5.831847700021497e-19,-1.7479423728411803e-45,-8.666200115320118e-13,0.4718873060077289
1st2KB_B64-T51,-1.25,3.20978080269388e-13,-1.072043997024481e-12,-2.5010803797896806e-18,-2.6239653563419988e-45,-1.0720414959441012e-12,0.4718873060077289
1st2KB_B64-T51,-1.5,1.11846980516226e-13,-1.2774723331136455e-12,-9.352757454907509e-18,-3.806923773654655e-45,-1.2774629803561906e-12,0.4718873060077289
1st2KB_B64-T51,-1.75,1.13313153890342e-13,-1.4829159376863992e-12,-3.147291811915045e-17,-5.37748272532825e-45,-1.48288446476828e-12,0.4718873060077289
1st2KB_B64-T51,-2.0,2.59303022847115e-13,-1.6884032917558726e-12,-9.734257550360203e-17,-7.433017312748821e-45,-1.6883059491803688e-12,0.4718873060077289
1st2KB_B64-T51,-2.25,9.20096518506469e-14,-1.894008326019434e-12,-2.808924269749727e-16,-1.0090466478109346e-44,-1.893727433592459e-12,0.4718873060077289
1st2KB_B64-T51,-2.5,2.24742614926207e-13,-2.099913541746468e-12,-7.646237419208655e-16,-1.3489592582430014e-44,-2.0991489180045475e-12,0.4718873060077289
1st2KB_B64-T51,-2.75,2.35509121969749e-13,-2.306550491150359e-12,-1.980088733721698e-15,-1.7796699773470425e-44,-2.3045704024166372e-12,0.4718873060077289
1st2KB_B64-T51,-3.0,2.52749535710473e-13,-2.5149022499994622e-12,-4.910363170735969e-15,-2.32088684415336e-44,-2.509991886828726e-12,0.4718873060077289
1st2KB_B64-T51,-3.25,3.9838588699638e-13,-2.727135967829281e-12,-1.1722596588464686e-14,-2.9958768675513104e-44,-2.715413371240816e-12,0.4718873060077289
1st2KB_B64-T51,-3.5,3.88523197988877e-13,-2.9478918146989184e-12,-2.7056959046013097e-14,-3.832012212087558e-44,-2.9208348556529052e-12,0.4718873060077289
