index,segment_index,voltage_v,polarization_uc_cm2,polarization_change_uc_cm2,screening_charge_uc_cm2,fe_field_mv_cm,il_field_mv_cm,residual_mv_cm,converged,used_fallback,j_total_uA_per_um2,j_thermionic_uA_per_um2,j_tunneling_uA_per_um2,j_pf_uA_per_um2,j_tat_uA_per_um2,j_sclc_uA_per_um2,top_barrier_ev,bottom_barrier_ev,tunneling_transmission,trap_tunneling_transmission
0,0,-20.0,-21.010511366717758,-21.509919837581865,-26.206294144276885,-3.6676026131949815,-31.825404547282755,-0.003991274685212415,1,0,-1.2043239194495232e-13,-3.054285816691591e-48,-2.3321281272926645e-38,-1.2043239194495232e-13,-1.6178312654875715e-33,0.0,3.1280254099061566,3.1483200318039177,6.721002478382317e-48,6.932172250114342e-37
1,0,-19.75,-21.010511366717758,0.0,-26.13076220275371,-3.614286075924304,-31.733677171333206,-0.0037397375033313787,1,0,-1.1275037336046915e-13,-2.9369934803072174e-48,-4.338014233294353e-39,-1.1275037336046915e-13,-4.393862346389536e-34,0.0,3.1290377576131543,3.1496454219536343,1.2501802140294792e-48,1.9044603104758247e-37
2,0,-19.5,-21.010511366717758,0.0,-26.055230261230538,-3.560969538653625,-31.64194979538365,-0.021650761742696402,1,0,-1.054953474850319e-13,-2.8240455182311267e-48,-7.705172199608268e-40,-1.054953474850319e-13,-1.1465393345898198e-34,0.0,3.1300515694948876,3.1509806245099825,2.2205675942019495e-49,5.027612330549669e-38
3,0,-19.25,-21.010511366717758,0.0,-25.979698319707357,-3.5076530013829434,-31.55022241943409,-0.039561785982072016,1,0,-9.864673120483313e-14,-2.715286737311329e-48,-1.2930026347144345e-40,-9.864673120483313e-14,-2.8686380117258744e-35,0.0,3.131066851922771,3.1523258606904507,3.7263278165419667e-50,1.2727856429258327e-38
4,0,-19.0,-21.010511366717758,0.0,-25.904166378184186,-3.4543364641122656,-31.458495043484536,-0.05747281022143704,1,0,-9.218480120596918e-14,-2.610567291514754e-48,-2.0492328484940094e-41,-9.218480120596918e-14,-6.886115994309816e-36,0.0,3.1320836113145636,3.1536813601517344,5.905721427707089e-51,3.091870607346316e-39
5,0,-18.75,-21.010511366717758,0.0,-25.828634436661012,-3.401019926841587,-31.36676766753498,-0.07538383446081043,1,0,-8.609066275211546e-14,-2.5097425042194903e-48,-3.0698455361715526e-42,-8.609066275211546e-14,-1.583267505299969e-36,0.0,3.1331018541348405,3.15504736144746,8.847043700301242e-52,7.195002665830731e-40
6,0,-18.5,-21.010511366717758,0.0,-25.753102495137835,-3.3477033895709054,-31.275040291585423,-0.09329485870017601,1,0,-8.034621945391448e-14,-2.4126726962040218e-48,-4.333554659848466e-43,-8.034621945391448e-14,-3.458124256625876e-37,0.0,3.134121586895475,3.1564241125183314,1.2488950014448202e-52,1.5907820505516011e-40
7,0,-18.25,-21.010511366717758,0.0,-25.677570553614665,-3.2943868523002275,-31.18331291563587,-0.11120588293954994,1,0,-7.493414400229672e-14,-2.3192230191585465e-48,-5.749089935721829e-44,-7.493414400229672e-14,-7.233767673934111e-38,0.0,3.1351428161561197,3.157811871217548,1.6568406878778777e-53,3.3689408629124536e-41
8,0,-18.0,-21.010511366717758,0.0,-25.60203861209149,-3.241070315029549,-31.091585539686314,-0.40972103918057284,1,0,-6.983784983865952e-14,-2.2292632945459167e-48,-7.107799390001803e-45,-6.983784983865952e-14,-1.430654344248524e-38,0.0,3.1361655485247053,3.1592109058746565,2.048409637402889e-54,6.746666468502332e-42
9,0,-17.75,-21.010511366717758,0.0,-25.526506670568313,-3.1877537777588674,-30.999858163736757,-0.42638245707765726,1,0,-6.504146373550821e-14,-2.142667857647753e-48,-8.213136728833686e-46,-6.504146373550821e-14,-2.6859373763560465e-39,0.0,3.137189790657933,3.1606214959013137,2.3669588160177787e-55,1.282758022031306e-42
